ordinal,task_id,start,goal,epoch,finish_time,path
1,0,3,47,8267.0,8316.0,3;16;17;18;22;24;27;28;47
2,1,4,47,8867.0,8913.4,4;17;18;22;24;27;28;47
3,2,5,47,8875.0,8920.599999999999,5;19;18;22;24;27;28;47
4,3,3,47,8880.0,8929.0,3;16;17;18;22;24;27;28;47
5,4,3,47,9462.0,9511.0,3;16;17;18;22;24;27;28;47
6,5,4,47,9470.0,9516.4,4;17;18;22;24;27;28;47
7,6,5,47,10062.0,10107.599999999999,5;19;18;22;24;27;28;47
8,7,3,47,10073.0,10122.0,3;16;17;18;22;24;27;28;47
9,8,0,47,10084.0,10129.400000000001,0;6;12;13;23;24;27;28;47
10,9,4,47,10085.0,10131.4,4;17;18;22;24;27;28;47
11,10,5,47,10087.0,10132.599999999999,5;19;18;22;24;27;28;47
12,11,1,47,10089.0,10139.000000000002,1;7;8;11;13;23;24;27;28;47
13,12,0,47,10645.0,10690.400000000001,0;6;12;13;23;24;27;28;47
14,13,4,47,10665.0,10711.4,4;17;18;22;24;27;28;47
15,14,5,47,10673.0,10718.599999999999,5;19;18;22;24;27;28;47
16,15,3,47,10675.0,10724.0,3;16;17;18;22;24;27;28;47
17,16,3,47,10681.0,10730.0,3;16;17;18;22;24;27;28;47
18,17,2,47,10681.0,10733.600000000002,2;9;7;8;11;13;23;24;27;28;47
19,18,0,47,10686.0,10731.400000000001,0;6;12;13;23;24;27;28;47
20,19,1,47,10686.0,10736.000000000002,1;7;8;11;13;23;24;27;28;47
21,20,3,47,10688.0,10741.199999999999,3;16;21;23;24;27;28;47
22,21,2,47,10689.0,10763.599999999999,2;9;7;8;11;14;46;36;38;39;47
23,22,4,47,10812.0,10858.4,4;17;18;22;24;27;28;47
24,23,5,47,11251.0,11296.599999999999,5;19;18;22;24;27;28;47
25,24,3,47,11254.0,11303.0,3;16;17;18;22;24;27;28;47
26,25,4,47,11267.0,11313.4,4;17;18;22;24;27;28;47
27,26,4,47,11269.0,11315.4,4;17;18;22;24;27;28;47
28,27,5,47,11270.0,11346.800000000001,5;19;25;26;43;15;14;46;36;38;39;47
29,28,3,47,11273.0,11322.0,3;16;17;18;22;24;27;28;47
30,29,0,47,11273.0,11318.400000000001,0;6;12;13;23;24;27;28;47
31,30,5,47,11274.0,11319.599999999999,5;19;18;22;24;27;28;47
32,31,1,47,11276.0,11326.000000000002,1;7;8;11;13;23;24;27;28;47
33,32,2,47,11278.0,11330.600000000002,2;9;7;8;11;13;23;24;27;28;47
34,33,0,47,11282.0,11327.400000000001,0;6;12;13;23;24;27;28;47
35,34,3,47,11282.0,11335.199999999999,3;16;21;23;24;27;28;47
36,35,4,47,11285.0,11364.4,4;17;18;22;26;43;15;14;46;36;38;39;47
37,36,1,47,11286.0,11357.999999999998,1;7;8;11;14;46;36;38;39;47
38,37,5,47,11288.0,11333.599999999999,5;19;18;22;24;27;28;47
39,38,2,47,11289.0,11341.600000000002,2;9;7;8;11;13;23;24;27;28;47
40,39,3,47,11290.0,11339.0,3;16;17;18;22;24;27;28;47
41,40,0,47,11292.0,11337.400000000001,0;6;12;13;23;24;27;28;47
42,41,1,47,11845.0,11895.000000000002,1;7;8;11;13;23;24;27;28;47
43,42,4,47,11854.0,11900.4,4;17;18;22;24;27;28;47
44,43,5,47,11865.0,11910.599999999999,5;19;18;22;24;27;28;47
45,44,3,47,11867.0,11916.0,3;16;17;18;22;24;27;28;47
46,45,1,47,11870.0,11920.000000000002,1;7;8;11;13;23;24;27;28;47
47,46,4,47,11875.0,11921.4,4;17;18;22;24;27;28;47
48,47,2,47,11878.0,11930.600000000002,2;9;7;8;11;13;23;24;27;28;47
49,48,4,47,11880.0,11926.4,4;17;18;22;24;27;28;47
50,49,0,47,11882.0,11927.400000000001,0;6;12;13;23;24;27;28;47
51,50,1,47,11883.0,11933.000000000002,1;7;8;11;13;23;24;27;28;47
52,51,5,47,11885.0,11963.599999999999,5;19;25;26;43;15;14;46;36;38;39;47
53,52,2,47,11886.0,11938.600000000002,2;9;7;8;11;13;23;24;27;28;47
54,53,3,47,11887.0,11936.0,3;16;17;18;22;24;27;28;47
55,54,0,47,11889.0,11934.400000000001,0;6;12;13;23;24;27;28;47
56,55,0,47,11906.0,11951.400000000001,0;6;12;13;23;24;27;28;47
57,56,4,47,12018.0,12064.4,4;17;18;22;24;27;28;47
58,57,5,47,12449.0,12494.599999999999,5;19;18;22;24;27;28;47
59,58,3,47,12459.0,12508.0,3;16;17;18;22;24;27;28;47
60,59,1,47,12462.0,12512.000000000002,1;7;8;11;13;23;24;27;28;47
61,60,4,47,12467.0,12513.4,4;17;18;22;24;27;28;47
62,61,5,47,12469.0,12514.599999999999,5;19;18;22;24;27;28;47
63,63,2,47,12470.0,12522.600000000002,2;9;7;8;11;13;23;24;27;28;47
