current_node,candidate_next_node,out_degree_current,candidate_outgoing,direct_faulted,dead_end_risk_depth1,dead_end_risk_depth2,dead_end_risk_depth3,fault_edge,feature_source,teacher_leakage
3,16,1,"[17, 21]",False,False,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
4,17,1,[18],False,True,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
5,19,1,"[18, 25]",False,True,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
16,17,2,[18],False,True,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
16,21,2,[23],False,False,False,False,"[18, 22]",local_static_topology_plus_current_fault_edges,False
17,18,1,[22],False,True,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
18,22,1,"[24, 26]",True,False,False,False,"[18, 22]",local_static_topology_plus_current_fault_edges,False
19,18,2,[22],False,True,True,True,"[18, 22]",local_static_topology_plus_current_fault_edges,False
19,25,2,[26],False,False,False,False,"[18, 22]",local_static_topology_plus_current_fault_edges,False
