row_type,executor,start_node,goal_node,feng_path,common_path,path_match,origin_equal_score_candidate_count,feng_ideal_edge_seconds,common_edge_travel_seconds,edge_travel_difference_seconds,feng_edge_quantized_seconds,feng_path_node_service_seconds,feng_post_admission_node_service_seconds,feng_edge_plus_post_admission_node_service_quantized_seconds,feng_single_bag_tht_seconds,feng_quantization_bias_seconds,common_node_service_seconds,common_single_bag_tht_seconds,single_bag_mechanical_gap_common_minus_feng_seconds,empty_network_gate,metric_definition,status,raw_bag_count,completed_raw_bags,segment_count,completed_segments,tht_min_seconds,tht_mean_seconds,tht_p95_seconds,tht_p99_seconds,tht_max_seconds,artifact
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,6,0>6,0>6,True,1,3.2,3.2,0.0,3.2,2.0,0.0,3.2,3.2,0.0,0.001,3.2010000000009313,0.001000000000931145,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,8,0>6>8,0>6>8,True,1,6.0,6.0,0.0,6.0,5.0,3.0,9.0,9.0,0.0,1.001,7.001000000000204,-1.9989999999997963,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,11,0>6>8>11,0>6>8>11,True,1,9.2,9.2,0.0,9.2,8.0,6.0,15.2,15.2,0.0,2.001,11.201000000000931,-3.998999999999068,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,12,0>6>12,0>6>12,True,1,13.2,13.2,0.0,13.2,5.0,3.0,16.2,16.2,0.0,1.001,14.201000000000931,-1.998999999999068,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,13,0>6>12>13,0>6>12>13,True,1,17.2,17.2,0.0,17.2,8.0,6.0,23.2,23.2,0.0,2.001,19.20100000000093,-3.998999999999068,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,14,0>6>8>11>14,0>6>8>11>14,True,1,22.0,22.0,0.0,22.0,11.0,9.0,31.0,31.0,0.0,3.001,25.001000000000204,-5.998999999999796,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,15,0>6>12>13>23>24>27>28>29>30>31>43>15,0>6>12>13>23>24>27>28>29>30>31>43>15,True,1,62.8,62.80000000000001,1.4210854715202004e-14,62.8,35.0,33.0,95.8,95.8,0.0,11.001,73.80100000000311,-21.998999999996883,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,23,0>6>12>13>23,0>6>12>13>23,True,1,20.4,20.4,0.0,20.4,11.0,9.0,29.4,29.4,0.0,3.001,23.40100000000166,-5.99899999999834,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,24,0>6>12>13>23>24,0>6>12>13>23>24,True,1,22.0,22.0,0.0,22.0,14.0,12.0,34.0,34.0,0.0,4.0009999999999994,26.001000000002023,-7.998999999997977,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,25,0>6>8>11>14>46>36>38>39>40>41>42>25,0>6>8>11>14>46>36>38>39>40>41>42>25,True,1,81.2,81.2,0.0,81.2,35.0,33.0,114.2,114.2,0.0,11.001,92.2009999999973,-21.99900000000271,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
OD_SINGLE_BAG,PAIRED_STATIC_FREE_FLOW,0,26,0>6>8>11>14>46>36>38>39>40>41>42>25>26,0>6>8>11>14>46>36>38>39>40>41>42>25>26,True,1,84.4,84.4,0.0,84.4,38.0,36.0,120.4,120.4,0.0,12.001,96.40099999999802,-23.999000000001985,True,one bag per reachable ordered OD; releases separated by 1000s; Feng is 0.2s position lattice; common is continuous event time,,,,,,,,,,,
