check,status,runtime_surface,details
legacy_java_no_diff,PASS,repository,
cpp_runtime_no_forbidden_teacher_tokens,PASS,g4i_no_astar_batch_replay_cpp,[]
python_wrapper_no_forbidden_teacher_tokens,PASS,cpp_backend.g4i_no_astar_batch_replay,[]
runtime_full_cie_astar_calls_zero,PASS,summary,0
edge_overlap_diagnostic_not_primary,PASS,summary,edge_overlap_diagnostic_only is reported separately and not counted as node-window conflict.
allowed_runtime_inputs_written,PASS,artifacts\policies\g4ir2_allowed_runtime_inputs.json,schema artifact is generated by G4IR2.
