validation_scope,scenario,scale,task_count,raw_bags,complete_bags,planned_segments,failed_segments,node_conflicts,runtime_full_astar_calls,mean_tth,min_tth,max_tth,p95_tth,p99_tth,source_retry_count,source_queue_backlog,max_source_queue_delay,fallback_calls,loop_count,runtime_seconds,tasks_per_second,memory_estimate_mb,deterministic_repeat_exact,material_regression,claim_level,generation_level,topology_changed,task_path,task_path_sha256,note
paper_main_repeat,paper_main_2_5_repeat_1,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,8.8411566,4931.82079819,29.82057764,True,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper main 2.5m/s deterministic repeat
paper_main_repeat,paper_main_2_5_repeat_2,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,9.2093783,4734.63013243,29.82057764,True,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper main 2.5m/s deterministic repeat
paper_main_repeat,paper_main_2_5_repeat_3,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,9.2792563,4698.97571426,29.82057764,True,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper main 2.5m/s deterministic repeat
paper_main_repeat,paper_main_2_5_repeat_4,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,9.3183985,4679.23753208,29.82057764,True,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper main 2.5m/s deterministic repeat
paper_main_repeat,paper_main_2_5_repeat_5,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,9.038595,4824.0904698,29.82057764,True,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper main 2.5m/s deterministic repeat
speed_sweep,speed_sweep_1.5,1x,43603,28506,28506,43603,0,0,0,5.77449286,5.08888889,7.58333338,6.78888892,6.96666718,0,310,309,81566,0,9.3379503,4669.4401447,29.98106227,,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper-protocol speed sweep
speed_sweep,speed_sweep_2.0,1x,43603,28506,28506,43603,0,0,0,4.39737996,3.86666667,5.87500012,5.16666678,5.39166667,0,310,309,81574,0,9.2297909,4724.15902725,29.66196101,,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper-protocol speed sweep
speed_sweep,speed_sweep_2.5,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,83320,0,9.2964859,4690.26688891,29.82057764,,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper-protocol speed sweep
speed_sweep,speed_sweep_3.0,1x,43603,28506,28506,43603,0,0,0,3.00632553,2.64444444,4.01666677,3.54444459,3.73888899,0,310,309,83482,0,9.4055893,4635.86050904,30.00542735,,False,paper_protocol_engineering_candidate,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,paper-protocol speed sweep
dynamic_static_12,dynamic_static_1.5_10,1x,43603,28506,28506,43603,0,0,0,6.38682559,5.63209877,8.34444454,7.52037039,7.67037084,0,310,309,81512,0,9.4190731,4629.22407939,29.97708264,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.350; paper_dynamic=6.45
dynamic_static_12,dynamic_static_1.5_20,1x,43603,28506,28506,43603,0,0,0,7.15652773,6.31111111,9.21111116,8.41944456,8.56388951,0,310,309,81552,0,9.4062882,4635.51605829,29.96855487,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.200; paper_dynamic=6.67
dynamic_static_12,dynamic_static_1.5_30,1x,43603,28506,28506,43603,0,0,0,8.16152673,7.18412698,10.20714331,9.66587318,9.78730162,0,310,309,77210,0,9.4794143,4599.75675923,29.93493106,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.050; paper_dynamic=6.91
dynamic_static_12,dynamic_static_2.0_10,1x,43603,28506,28506,43603,0,0,0,4.84631854,4.27407407,6.46666692,5.69074082,5.87592601,0,310,309,81475,0,9.277089,4700.07348211,29.96709296,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.800; paper_dynamic=4.92
dynamic_static_12,dynamic_static_2.0_20,1x,43603,28506,28506,43603,0,0,0,5.42324629,4.78333333,7.17708353,6.36875137,6.55,0,310,309,81572,0,9.2854912,4695.82050759,29.65798138,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.600; paper_dynamic=5.16
dynamic_static_12,dynamic_static_2.0_30,1x,43603,28506,28506,43603,0,0,0,6.16633573,5.43809524,8.12142874,7.25714291,7.4214286,0,310,309,81536,0,9.4556101,4611.3365017,29.92266731,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=1.400; paper_dynamic=5.42
dynamic_static_12,dynamic_static_2.5_10,1x,43603,28506,28506,43603,0,0,0,3.92667167,3.45925926,5.2500001,4.60555599,4.82222304,0,310,309,82821,0,9.3321039,4672.36546734,29.96124534,,False,diagnostic_only,original_processed_inputdata_with_java_source_queue_release,False,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,dynamic/static diagnostic effective_speed=2.250; paper_dynamic=3.99
