variant,actual_runtime,engineering_note,status,policy,reservation_semantics,complete_bags,processed_segment_count,planned_segments,failed_segments,mean_tht,delta_vs_g6_official_min,gap_vs_original_min,source_retry_count,source_wait_seconds,wait_seconds,fallback_calls,loop_count,node_window_conflicts,runtime_full_astar_calls,promotion_status
baseline_reservation,True,Current closed-boundary point-interval behavior.,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted
source_node_no_reservation,True,Do not reserve source node at task entry; open-end audit.,PASS,model_plus_pibt_lite,source_node_no_reservation,28506,43603,43603,0,3.97426825,-0.00184164,0.00714554,0,0,682072.83963999,86663,131,0,0,diagnostic_improvement_only
source_node_zero_service,False,No-op: all source nodes already have Java-parsed service_time=0.,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted_noop
entry_node_open_interval,True,Use open-end interval boundary for node waits/audit.,PASS,model_plus_pibt_lite,entry_node_open_interval,28506,43603,43603,0,3.97426825,-0.00184164,0.00714554,0,0,682072.83963999,86663,131,0,0,diagnostic_improvement_only
reservation_open_end_boundary,True,"Use [start,end) node interval semantics.",PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.97426825,-0.00184164,0.00714554,0,0,682072.83963999,86663,131,0,0,diagnostic_improvement_only
storage_segment_independent_reservation,True,Open-end diagnostic for zero-duration storage/source endpoints.,PASS,model_plus_pibt_lite,storage_segment_independent_reservation,28506,43603,43603,0,3.97426825,-0.00184164,0.00714554,0,0,682072.83963999,86663,131,0,0,diagnostic_improvement_only
java_service_time_parity,False,No-op: processed map already uses Java service_time values.,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted_noop
