scale,scorer,status,requested_bags,released_bags,completed_bags,failed_bags,current_backlog,completion_fraction,event_total,simulated_time,native_wall_seconds,native_process_cpu_seconds,native_cpu_to_wall_ratio,rss_sample_mb,events_per_wall_second,releases_per_wall_second,completions_per_wall_second,backlog_change_per_wall_second,simulated_seconds_per_wall_second,merge_retries_per_wall_second,duplicate_wakeups_per_wall_second,coalesced_events_per_wall_second,dominant_event_type,dominant_event_ratio,preliminary_attribution
1,S1,COMPLETE,43603,43603,43603,0,0,1.0,4892924,82121.40200000002,20.877297599916346,20.4375,0.9789341701045585,1173.68359375,234365.77347154383,2088.5365929819727,2088.5365929819727,0.0,3933.526434969681,0.0,5858.612658780612,5858.612658780612,congestion_beacon_update,0.40760269319531633,MIXED_EVENT_LOAD_NO_SINGLE_COUNTER_DOMINATES
2,S1,BOUNDED_PROGRESS,87206,65976,65593,0,383,0.7521615485173039,10027008,61747.001,60.58408100006636,59.78125,0.9867484826572597,246.28125,167521.963315613,1102.2659054137466,1095.8670961228916,6.398809290855235,1031.6117067395496,0.0,10541.161185306011,10541.161185306011,congestion_beacon_update,0.3990911346635008,MIXED_EVENT_LOAD_NO_SINGLE_COUNTER_DOMINATES
4,S1,BOUNDED_PROGRESS,174412,39072,18212,0,20860,0.10441942068206315,4194304,27215.251,62.63989720004611,61.59375,0.9832990275078973,453.83203125,68305.88529561574,636.3028407741303,296.5895612248787,339.7132795492516,443.21103408274445,0.0,3568.683116047253,3568.683116047253,congestion_beacon_update,0.38721442222595215,MIXED_EVENT_LOAD_NO_SINGLE_COUNTER_DOMINATES
