slice_index,candidate_count,max_abs_diff,python_action,cpp_action,prediction_match
0,2,0.0,0,0,True
1,3,0.0,1,1,True
2,2,0.0,0,0,True
3,2,0.0,0,0,True
4,2,0.0,0,0,True
5,3,0.0,0,0,True
6,3,0.0,1,1,True
7,2,0.0,0,0,True
8,2,0.0,0,0,True
9,2,0.0,0,0,True
10,3,0.0,0,0,True
11,2,0.0,0,0,True
12,3,0.0,0,0,True
13,3,0.0,1,1,True
14,2,0.0,0,0,True
15,3,0.0,0,0,True
16,2,0.0,1,1,True
17,2,0.0,1,1,True
18,2,0.0,0,0,True
19,3,0.0,2,2,True
20,3,0.0,2,2,True
21,3,0.0,0,0,True
22,2,0.0,0,0,True
23,3,0.0,0,0,True
24,3,0.0,1,1,True
25,2,0.0,0,0,True
26,3,0.0,1,1,True
27,2,8.881784197001252e-16,0,0,True
28,2,0.0,0,0,True
29,2,0.0,0,0,True
30,3,0.0,2,2,True
31,3,0.0,2,2,True
32,3,0.0,2,2,True
33,3,0.0,2,2,True
34,3,0.0,0,0,True
35,3,0.0,1,1,True
36,2,0.0,0,0,True
37,3,0.0,1,1,True
38,2,0.0,0,0,True
39,2,0.0,0,0,True
40,2,0.0,0,0,True
41,3,0.0,0,0,True
42,3,1.3877787807814457e-17,1,1,True
43,2,0.0,0,0,True
44,2,0.0,0,0,True
45,2,0.0,0,0,True
46,3,0.0,0,0,True
47,2,8.881784197001252e-16,1,1,True
48,2,0.0,0,0,True
49,3,0.0,2,2,True
50,3,0.0,2,2,True
51,3,0.0,2,2,True
52,3,0.0,2,2,True
53,3,0.0,2,2,True
54,3,0.0,2,2,True
55,3,0.0,2,2,True
56,3,0.0,2,2,True
57,3,0.0,2,2,True
58,3,0.0,0,0,True
59,3,0.0,1,1,True
60,2,0.0,0,0,True
61,3,0.0,0,0,True
62,2,0.0,0,0,True
63,3,0.0,0,0,True
