split,sample_count,model_top1,shortest_time_heuristic_top1,model_beats_shortest_time
train,27631,0.95468857,0.86088089,True
val,7864,0.95409461,0.86330112,True
test,3818,0.95861708,0.86223153,True
all,39313,0.95495129,0.8614962,True
