current_node,teacher_next_node,case_count,window_count,mean_time_slack,mean_local_node_pressure,mean_teacher_static_remaining_hops,mean_teacher_second_best_gap,mean_teacher_downstream_pressure_2hop,mean_teacher_downstream_pressure_3hop,mean_teacher_goal_direction_score,mean_teacher_historical_risk
6,8,221,8,8085.11932,0,6.80090498,2.56289593,0,0.24434389,0.23710407,0
6,12,268,8,10158.31800157,0,6.52985075,1.64179104,0,0,8.35820896,1
11,13,904,8,9430.9955466,0,5.45353982,1.66814159,0,0,9.53185841,1
11,14,261,8,7596.6222851,0,4.63218391,13.42068966,0,0,-0.62068966,0
16,17,412,7,8441.83384043,0,6.44902913,0,0,0,3.6,1
16,21,258,8,8750.566575,0,5.23255814,5.2,0,0,17.6,0
19,18,351,8,8708.39983164,0,5.37037037,0,0,0.30769231,2.8,1
19,25,306,8,8029.22476709,0,9.25490196,27.06143791,0,0,-13.06143791,0
