task_id,segment_id,task_stream_generation_level,topology_changed,source_manifest,static_fault_reached,static_fault_reason,no_fault_reached,repair_reached,static_path,no_fault_path,repair_path
0,0:storage_in:g4irsf2_c0,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
28506,28506:storage_in:g4irsf2_c1,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
57012,57012:storage_in:g4irsf2_c2,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
85518,85518:storage_in:g4irsf2_c3,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
114024,114024:storage_in:g4irsf2_c4,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
142530,142530:storage_in:g4irsf2_c5,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
171036,171036:storage_in:g4irsf2_c6,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
199542,199542:storage_in:g4irsf2_c7,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[3, 16, 17, 18]","[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18]"
1,1:storage_in:g4irsf2_c0,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[4, 17, 18]","[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18]"
28507,28507:storage_in:g4irsf2_c1,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,False,all_candidates_faulted,True,False,"[4, 17, 18]","[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18]"
