scenario,event_variant,segment_id,task_id,current,goal,ready_time,route_intent_label,legacy_next,legacy_route_suffix,executable_label,executed_kind,executed_next,label_source,post_label_safe,block_reason,g4a_primary_eligible
legacy_first16,g3d_reroute_anchor,0:storage_in,0,3,47,8267.845453,ROUTE_INTENT_LEGACY,16,3 16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,16,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,16,47,8270.445453,ROUTE_INTENT_LEGACY,17,16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,17,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,17,47,8275.045453,ROUTE_INTENT_LEGACY,18,17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,18,47,8277.645453000001,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,MOVE_NOW_LEGACY,move,22,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,22,47,8287.045453,ROUTE_INTENT_LEGACY,24,22 24 27 28 47,MOVE_NOW_LEGACY,move,24,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,24,47,8298.445453,ROUTE_INTENT_LEGACY,27,24 27 28 47,MOVE_NOW_LEGACY,move,27,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,27,47,8301.045453,ROUTE_INTENT_LEGACY,28,27 28 47,MOVE_NOW_LEGACY,move,28,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,0:storage_in,0,28,47,8312.845453,ROUTE_INTENT_LEGACY,47,28 47,MOVE_NOW_LEGACY,move,47,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,4,47,8867.845453,ROUTE_INTENT_LEGACY,17,4 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,17,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,17,47,8872.445453,ROUTE_INTENT_LEGACY,18,17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,18,47,8875.045453,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,MOVE_NOW_LEGACY,move,22,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,5,47,8875.816299,ROUTE_INTENT_LEGACY,19,5 19 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,19,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,19,47,8878.416299,ROUTE_INTENT_LEGACY,18,19 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,3,47,8880.000872,ROUTE_INTENT_LEGACY,16,3 16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,16,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,18,47,8882.216299,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
legacy_first16,g3d_reroute_anchor,3:storage_in,3,16,47,8882.600872,ROUTE_INTENT_LEGACY,17,16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,17,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,18,47,8883.216299,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
legacy_first16,g3d_reroute_anchor,2:storage_in,2,18,47,8884.216299,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,MOVE_NOW_LEGACY,move,22,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,22,47,8884.445453,ROUTE_INTENT_LEGACY,24,22 24 27 28 47,MOVE_NOW_LEGACY,move,24,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,17,47,8887.200872000001,ROUTE_INTENT_LEGACY,18,17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,18,47,8889.800872000002,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
legacy_first16,g3d_reroute_anchor,3:storage_in,3,18,47,8890.800872000002,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
legacy_first16,g3d_reroute_anchor,3:storage_in,3,18,47,8891.800872000002,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
legacy_first16,g3d_reroute_anchor,3:storage_in,3,18,47,8892.800872000002,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,MOVE_NOW_LEGACY,move,22,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,22,47,8893.616299,ROUTE_INTENT_LEGACY,24,22 24 27 28 47,REROUTE_NOW_LEGACY,move,26,legacy_reroute_from_current,True,edge_capacity,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,24,47,8895.845453,ROUTE_INTENT_LEGACY,27,24 27 28 47,MOVE_NOW_LEGACY,move,27,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,27,47,8898.445453,ROUTE_INTENT_LEGACY,28,27 28 47,MOVE_NOW_LEGACY,move,28,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,26,47,8901.416298999999,ROUTE_INTENT_LEGACY,43,26 43 15 14 46 36 38 39 47,MOVE_NOW_LEGACY,move,43,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,22,47,8902.200872000001,ROUTE_INTENT_LEGACY,24,22 24 27 28 47,MOVE_NOW_LEGACY,move,24,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,43,47,8904.016298999999,ROUTE_INTENT_LEGACY,15,43 15 14 46 36 38 39 47,MOVE_NOW_LEGACY,move,15,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,15,47,8908.216299,ROUTE_INTENT_LEGACY,14,15 14 46 36 38 39 47,MOVE_NOW_LEGACY,move,14,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,1:storage_in,1,28,47,8910.245453,ROUTE_INTENT_LEGACY,47,28 47,MOVE_NOW_LEGACY,move,47,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,14,47,8910.816299,ROUTE_INTENT_LEGACY,46,14 46 36 38 39 47,MOVE_NOW_LEGACY,move,46,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,46,47,8913.416299,ROUTE_INTENT_LEGACY,36,46 36 38 39 47,MOVE_NOW_LEGACY,move,36,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,24,47,8913.600872,ROUTE_INTENT_LEGACY,27,24 27 28 47,MOVE_NOW_LEGACY,move,27,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,27,47,8916.200872000001,ROUTE_INTENT_LEGACY,28,27 28 47,MOVE_NOW_LEGACY,move,28,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,3:storage_in,3,28,47,8928.000872,ROUTE_INTENT_LEGACY,47,28 47,MOVE_NOW_LEGACY,move,47,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,36,47,8929.216299,ROUTE_INTENT_LEGACY,38,36 38 39 47,MOVE_NOW_LEGACY,move,38,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,38,47,8943.016298999999,ROUTE_INTENT_LEGACY,39,38 39 47,MOVE_NOW_LEGACY,move,39,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,2:storage_in,2,39,47,8952.416298999999,ROUTE_INTENT_LEGACY,47,39 47,MOVE_NOW_LEGACY,move,47,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,4:storage_in,4,3,47,9462.482986,ROUTE_INTENT_LEGACY,16,3 16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,16,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,4:storage_in,4,16,47,9465.082986000001,ROUTE_INTENT_LEGACY,17,16 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,17,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,4:storage_in,4,17,47,9469.682986000002,ROUTE_INTENT_LEGACY,18,17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,5:storage_in,5,4,47,9470.615484,ROUTE_INTENT_LEGACY,17,4 17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,17,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,4:storage_in,4,18,47,9472.282986000002,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,MOVE_NOW_LEGACY,move,22,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,5:storage_in,5,17,47,9475.215484,ROUTE_INTENT_LEGACY,18,17 18 22 24 27 28 47,MOVE_NOW_LEGACY,move,18,legacy_route_next,True,none,True
legacy_first16,g3d_reroute_anchor,5:storage_in,5,18,47,9477.815484,ROUTE_INTENT_LEGACY,22,18 22 24 27 28 47,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,18,shield_hold_after_blocked_legacy_next,True,edge_capacity,False
