comparison_kind,map,scale,policy,policy_label,metric,metric_label,preferred_direction,comparison_status,missing_cells,ff_off,sa_off,ff_full,sa_full,potential_main_effect_sa_minus_ff,dynamic_main_effect_full_minus_off,interaction_difference_in_differences,adaptation_contrast_sa_minus_ff
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completed_segment_count,completed segments,higher,COMPLETE,,43603,43603,43603,43603,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completed_raw_bag_count,completed raw bags,higher,COMPLETE,,28506,28506,28506,28506,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completion_rate,raw-bag completion rate,higher,COMPLETE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_mean_seconds,population latency mean (s),lower,COMPLETE,,714.9629903529101,609.3015208377203,697.9824073177596,629.2717727145179,-87.18605205921563,1.4948344208235085,36.95083491194805,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_p95_seconds,population latency P95 (s),lower,COMPLETE,,4718.850999999995,3770.801999999996,4573.664499999997,3916.601999999989,-802.5557500000036,0.3067499999979191,290.9864999999909,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_p99_seconds,population latency P99 (s),lower,COMPLETE,,5923.534499999996,5772.204499999994,5754.594499999996,5546.991999999994,-179.46625000000222,-197.07625000000007,-56.272500000000036,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_max_seconds,population latency max (s),lower,COMPLETE,,6355.601999999999,6110.351999999995,6130.001999999993,5865.251999999993,-255.00000000000182,-235.350000000004,-19.499999999996362,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_on_time_raw_bag_count,fixed-denominator on-time raw bags,higher,COMPLETE,,28117,28370,28153,28317,208.5,-8.5,-89.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_on_time_rate,fixed-denominator on-time rate,higher,COMPLETE,,0.9863537500877009,0.99522907458079,0.9876166421104329,0.9933698168806567,0.0073142496316565,-0.00029818283870053364,-0.003122149722865286,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_missed_raw_bag_count,fixed-denominator missed raw bags,lower,COMPLETE,,389,136,353,189,-208.5,8.5,89.0,
