evidence_id,scale,evidence_kind,protocol_status,execution_status,raw_task_count,canonical_segment_count,flight_count,start_epoch,max_epochs,end_epoch,max_new_tasks,released_segment_count,planned_segment_count,completed_segment_count,unfinished_segment_count,canonical_complete_raw_bag_count,canonical_incomplete_raw_bag_count,canonical_success_rate,full_release_observed,full_segment_completion_observed,parent_wall_seconds,child_wall_seconds,timing_scope,full_population_tth,comparison_eligible,provenance,run_dir
g29_external_prior_2x_speed_2p5_repeat_pair,2,EXTERNAL_PRIOR,EXACT_RELEASE_FULL_POPULATION_FIXED_HORIZON,COMPLETE,57012,87206,720,8260,90000,98259,0,87206,87206,87111,95,56917,95,0.998333684136673,True,False,NOT_MEASURED,290.57510550000006,CAPACITY_ONLY_CENSORED,NOT_MEASURED,False,origin/codex/g4irsf29-faithful-2x@b8cdd17; t5_2_speed_2p5,NOT_LOCAL
g25_fresh_hca_2x_20260822T004632Z,2,FRESH_LOCAL_RUN,FIXED_HORIZON_CAPACITY_CENSORED,COMPLETE,57012,87206,720,8260,90000,98259,0,87206,87206,87111,95,56917,95,0.998333684136673,True,False,321.06478829999105,NOT_MEASURED,CAPACITY_ONLY_CENSORED,NOT_MEASURED,False,current_branch_original_java_hca_g24_wrapper,build/g4irsf25_hca_scale/hca_2x/20260822T004632Z
g25_fresh_hca_4x_20260822T005202Z,4,FRESH_LOCAL_RUN,FIXED_HORIZON_CAPACITY_CENSORED,COMPLETE,114024,174412,1440,8260,90000,98259,0,117626,117623,117270,57142,70018,44006,0.6140637058864801,False,False,419.9469318999909,NOT_MEASURED,CAPACITY_ONLY_CENSORED,NOT_MEASURED,False,current_branch_original_java_hca_g24_wrapper,build/g4irsf25_hca_scale/hca_4x/20260822T005202Z
