case,start,goal,python_route,cpp_route,python_length,cpp_length,python_finish,cpp_finish,node_reservation_count,edge_reservation_count,fault_edge_count,edge_headway_seconds,parity_pass,first_mismatch_status,first_mismatch_node,first_mismatch_field,python_value,cpp_value
line_clear,0,2,0->1->2,0->1->2,3,3,5.0,5.0,0,0,0,0.0,True,match,,none,,
line_node_wait,0,2,0->1->2,0->1->2,3,3,6.000000001,6.000000001,1,0,0,0.0,True,match,,none,,
line_edge_capacity_wait,0,2,0->1->2,0->1->2,3,3,7.0,7.0,0,1,0,0.0,True,match,,none,,
line_edge_headway_wait,0,2,0->1->2,0->1->2,3,3,7.0,7.0,0,1,0,2.0,True,match,,none,,
line_fault_blocked,0,2,none,none,0,0,0.0,0.0,0,0,1,0.0,True,match,,none,,
synthetic_seed7_medium_repair_first_task,0,11,0->3->8->11,0->3->8->11,4,4,7.204095777845336,7.204095777845336,0,0,0,0.0,True,match,,none,,
synthetic_seed11_dense_multi_repair_first_task,2,11,2->6->9->11,2->6->9->11,4,4,9.20957511511651,9.20957511511651,0,0,0,0.0,True,match,,none,,
synthetic_seed17_static_plus_repair_first_task,0,11,0->3->8->9->11,0->3->8->9->11,5,5,15.291295689497883,15.291295689497883,0,0,1,0.0,True,match,,none,,
synthetic_seed23_repeated_repair_first_task,2,11,2->5->8->11,2->5->8->11,4,4,11.646858506703662,11.646858506703662,0,0,0,0.0,True,match,,none,,
