policy,role,cpp_planned_count,scope_total,cpp_node_window_conflicts,cpp_runtime_full_cie_astar_calls,cpp_model_inference_count,cpp_rule_fallback_calls,g4g_reference_planned_count,planned_delta_vs_g4g
model_only_no_astar,diagnostic_model_only,4449,4449,0,0,34477,0,4449,0
pibt_lite_only,diagnostic_rule_only,582,4449,0,0,0,98518,582,0
model_plus_pibt_lite,candidate,4449,4449,0,0,35235,6612,4449,0
model_plus_static_distance_fallback,candidate,4449,4449,0,0,35262,6639,4449,0
model_plus_node_window_greedy,candidate,4449,4449,0,0,35242,6619,4449,0
model_plus_k_step_local_window,candidate,4449,4449,0,0,39269,6964,4449,0
