scenario,segment_id,task_id,bottleneck_edge,cie_teacher_planned,cie_preserves_bottleneck_edge,cie_teacher_path,recovery_class,unique_scenario_segment_credit
legacy_first32,20:storage_in,20,27->28,True,True,3 16 21 23 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_first32,27:storage_in,27,18->22,True,False,5 19 25 26 43 15 14 46 36 38 39 47,cie_upstream_reroute_before_bottleneck,True
legacy_first32,26:storage_in,26,18->22,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_first32,26:storage_in,26,18->22,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,False
legacy_first32,30:storage_in,30,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_first32,25:storage_in,25,27->28,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset32_static16,35:storage_in,35,27->28,True,False,4 17 18 22 26 43 15 14 46 36 38 39 47,cie_upstream_reroute_before_bottleneck,True
legacy_offset32_static16,32:storage_in,32,27->28,True,True,2 9 7 8 11 13 23 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset32_static16,32:storage_in,32,27->28,True,True,2 9 7 8 11 13 23 24 27 28 47,cie_preserve_edge_upstream_wait,False
legacy_offset32_static16,34:storage_in,34,27->28,True,True,3 16 21 23 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset32_static16,37:storage_in,37,27->28,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset32_static16,44:storage_in,44,27->28,True,True,3 16 21 23 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset32_static16,46:storage_in,46,27->28,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,68:storage_in,68,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,73:storage_in,73,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,66:storage_in,66,27->28,False,False,,cie_no_path_still_blocked,True
legacy_offset64_repair32,82:storage_in,82,18->22,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,84:storage_in,84,18->22,False,False,,cie_no_path_still_blocked,True
legacy_offset64_repair32,87:storage_in,87,18->22,True,True,3 16 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,94:storage_in,94,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,81:storage_in,81,27->28,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_repair32,81:storage_in,81,27->28,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,False
legacy_offset64_repair32,91:storage_in,91,27->28,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_merge32,68:storage_in,68,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_merge32,73:storage_in,73,18->22,True,True,5 19 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_merge32,74:storage_in,74,27->28,True,True,1 7 8 11 13 23 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_merge32,82:storage_in,82,18->22,True,True,4 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
legacy_offset64_merge32,84:storage_in,84,18->22,False,False,,cie_no_path_still_blocked,True
legacy_offset64_merge32,87:storage_in,87,18->22,True,True,3 16 17 18 22 24 27 28 47,cie_preserve_edge_upstream_wait,True
