scenario,context,node_kind,teacher_source,decisions,move_labels,hold_labels,no_path_labels,unavailable_or_blocked_labels,branch_decisions,linear_decisions,candidate_recall,safe_recall,fault_slices,repair_slices,merge_slices,buffer_slices,unique_current_nodes,unique_segments
legacy_first16,no_fault,all,python_faithful_legacy_astar_event_trace,168,168,0,0,51,82,86,1.0,0.6964285714285714,0,0,0,0,20,16
legacy_first16,no_fault,branch,python_faithful_legacy_astar_event_trace,82,82,0,0,29,82,0,1.0,0.6463414634146342,0,0,0,0,7,16
legacy_first16,no_fault,linear,python_faithful_legacy_astar_event_trace,86,86,0,0,22,0,86,1.0,0.7441860465116279,0,0,0,0,13,16
legacy_first16_buffer2,buffer_capacity,all,python_faithful_legacy_astar_event_trace,168,168,0,0,51,82,86,1.0,0.6964285714285714,0,0,0,168,20,16
legacy_first16_buffer2,buffer_capacity,branch,python_faithful_legacy_astar_event_trace,82,82,0,0,29,82,0,1.0,0.6463414634146342,0,0,0,82,7,16
legacy_first16_buffer2,buffer_capacity,linear,python_faithful_legacy_astar_event_trace,86,86,0,0,22,0,86,1.0,0.7441860465116279,0,0,0,86,13,16
legacy_first32,no_fault,all,python_faithful_legacy_astar_event_trace,335,331,0,4,124,169,166,1.0,0.6374622356495468,0,0,0,0,22,32
legacy_first32,no_fault,branch,python_faithful_legacy_astar_event_trace,169,169,0,0,82,169,0,1.0,0.514792899408284,0,0,0,0,8,30
legacy_first32,no_fault,linear,python_faithful_legacy_astar_event_trace,166,162,0,4,42,0,166,1.0,0.7654320987654321,0,0,0,0,14,32
legacy_offset32_static16,static_fault,all,python_faithful_legacy_astar_event_trace,190,184,0,6,80,103,87,1.0,0.5978260869565217,190,0,0,0,23,16
legacy_offset32_static16,static_fault,branch,python_faithful_legacy_astar_event_trace,103,103,0,0,65,103,0,1.0,0.36893203883495146,103,0,0,0,8,16
legacy_offset32_static16,static_fault,linear,python_faithful_legacy_astar_event_trace,87,81,0,6,15,0,87,1.0,0.8888888888888888,87,0,0,0,15,16
legacy_offset64_repair32,repair_window,all,python_faithful_legacy_astar_event_trace,326,313,0,13,150,148,178,1.0,0.5623003194888179,0,326,0,0,22,32
legacy_offset64_repair32,repair_window,branch,python_faithful_legacy_astar_event_trace,148,148,0,0,92,148,0,1.0,0.3783783783783784,0,148,0,0,8,27
legacy_offset64_repair32,repair_window,linear,python_faithful_legacy_astar_event_trace,178,165,0,13,58,0,178,1.0,0.7272727272727273,0,178,0,0,14,32
legacy_offset64_merge32,merge_group,all,python_faithful_legacy_astar_event_trace,322,303,0,19,158,121,201,1.0,0.5412541254125413,0,0,322,0,22,32
legacy_offset64_merge32,merge_group,branch,python_faithful_legacy_astar_event_trace,121,121,0,0,65,121,0,1.0,0.4628099173553719,0,0,121,0,8,27
legacy_offset64_merge32,merge_group,linear,python_faithful_legacy_astar_event_trace,201,182,0,19,93,0,201,1.0,0.5934065934065934,0,0,201,0,14,32
