split,sample_count,model_top1,shortest_time_heuristic_top1,random_safe_expected_top1,model_beats_shortest_time
train,821,0.98903776,0.85627284,0.77771011,True
val,238,0.99159664,0.86554622,0.77310924,True
test,127,0.97637795,0.83464567,0.76377953,True
all,1186,0.98819562,0.85581788,0.77529511,True
