policy,experiment_scope,task_count,runtime_seconds,runtime_decisions,seconds_per_decision,notes
model_only_no_astar,g4d_teacher_planned_scope,4449,8.7597542,34477,0.00025408,base ablation over verified teacher planned scope
pibt_lite_only,g4d_teacher_planned_scope,4449,18.9566868,98518,0.00019242,base ablation over verified teacher planned scope
static_distance_only,g4d_teacher_planned_scope,4449,22.1147889,97991,0.00022568,base ablation over verified teacher planned scope
node_window_aware_only,g4d_teacher_planned_scope,4449,19.418603,98484,0.00019718,base ablation over verified teacher planned scope
model_plus_static_distance_fallback,g4d_teacher_planned_scope,4449,9.7505968,35262,0.00027652,base ablation over verified teacher planned scope
model_plus_node_window_fallback,g4d_teacher_planned_scope,4449,9.8825648,35242,0.00028042,base ablation over verified teacher planned scope
model_plus_pibt_lite_fallback,g4d_teacher_planned_scope,4449,9.9583117,35235,0.00028263,base ablation over verified teacher planned scope
model_plus_bounded_local_search_k2,g4d_teacher_planned_scope,4449,11.76261,39702,0.00029627,base ablation over verified teacher planned scope
model_plus_bounded_local_search_k3,g4d_teacher_planned_scope,4449,12.2282355,39269,0.0003114,base ablation over verified teacher planned scope
model_plus_bounded_local_search_k5,g4d_teacher_planned_scope,4449,12.3668684,39562,0.00031259,base ablation over verified teacher planned scope
model_plus_pibt_lite_fallback,raw_inputdata_stress,15360,53.5331236,122625,0.00043656,larger raw inputdata stress windows without fresh CIE teacher labels
