policy,planned_count,scope_total,teacher_planned_scope,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_local_search_calls,zero_full_astar_task_share,route_exact_count,deviated_success_count,failed_count,loop_deadlock_cases,loop_count,nonprogress_steps,avg_no_progress_steps_per_task,mean_wait_seconds,mean_transport_time,window_name,window_offset,window_size,context,source,stable
model_plus_pibt_lite_fallback,1024,1024,,0,0,8138,6660,1478,0,1,0,0,0,0,0,623,0.60839844,1.44017593,55.32962905,g4g_1024_offset0_no_fault,0,1024,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,1024,1024,,0,0,8164,6503,1661,0,1,0,0,0,0,0,1039,1.01464844,8.03189278,97.3010334,g4g_1024_offset1024_no_fault,1024,1024,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,1024,1024,,0,0,8316,6404,1912,0,1,0,0,0,0,0,1079,1.05371094,5.04207854,132.48035979,g4g_1024_offset2048_no_fault,2048,1024,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,1024,1024,,0,0,7683,5586,2097,0,1,0,0,0,0,45,2167,2.11621094,47.86876676,207.8177902,g4g_1024_offset4096_no_fault,4096,1024,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,2048,2048,,0,0,16302,13163,3139,0,1,0,0,0,0,0,1662,0.81152344,4.73603435,76.31533123,g4g_2048_offset0_no_fault,0,2048,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,2048,2048,,0,0,16752,12884,3868,0,1,0,0,0,0,0,2353,1.14892578,7.18237879,137.35093348,g4g_2048_offset2048_no_fault,2048,2048,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,4096,4096,,0,0,33064,26057,7007,0,1,0,0,0,0,0,4031,0.98413086,6.02791649,106.92293602,g4g_4096_offset0_no_fault,0,4096,no_fault,raw_inputdata_smoke,True
model_plus_pibt_lite_fallback,512,512,,0,0,3967,3253,714,0,1,0,0,0,0,0,217,0.42382812,0.53968558,48.18460746,g4g_512_offset0_no_fault,0,512,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,512,512,,0,0,4245,3485,760,0,1,0,0,0,0,0,395,0.77148438,2.16512106,75.09832418,g4g_512_offset1024_no_fault,1024,512,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,512,512,,0,0,3919,3018,901,0,1,0,0,0,0,0,632,1.234375,13.7311431,119.33622122,g4g_512_offset1536_no_fault,1536,512,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,512,512,,0,0,4300,3384,916,0,1,0,0,0,0,0,366,0.71484375,1.13197518,108.34994393,g4g_512_offset2048_no_fault,2048,512,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,512,512,,0,0,3604,2598,1006,0,1,0,0,0,0,0,994,1.94140625,49.72197482,206.21884982,g4g_512_offset4096_no_fault,4096,512,no_fault,raw_inputdata_stress,True
model_plus_pibt_lite_fallback,512,512,,0,0,4171,3407,764,0,1,0,0,0,0,0,393,0.76757812,2.10609243,62.2400768,g4g_512_offset512_no_fault,512,512,no_fault,raw_inputdata_stress,True
