policy,window_name,context,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,rule_fallback_calls,edge_overlap_diagnostic_only
model_only_no_astar,g4d_first1024_no_fault,no_fault,1024,1024,0,0,0,10855
model_only_no_astar,g4d_first144_no_fault,no_fault,144,144,0,0,0,999
model_only_no_astar,g4d_first256_no_fault,no_fault,256,256,0,0,0,1860
model_only_no_astar,g4d_first512_no_fault,no_fault,512,512,0,0,0,4211
model_only_no_astar,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,0,24779
model_only_no_astar,g4d_offset512_512_high_density,no_fault,512,512,0,0,0,6494
model_only_no_astar,g4d_offset64_repair512,repair_window,512,512,0,0,0,4946
model_only_no_astar,g4d_offset64_static512,static_fault,512,512,0,0,0,4932
pibt_lite_only,g4d_first1024_no_fault,no_fault,42,1024,0,0,24029,46934
pibt_lite_only,g4d_first144_no_fault,no_fault,0,144,0,0,3456,4821
pibt_lite_only,g4d_first256_no_fault,no_fault,0,256,0,0,6144,9213
pibt_lite_only,g4d_first512_no_fault,no_fault,0,512,0,0,12288,20227
pibt_lite_only,g4d_offset2048_1024_high_density,no_fault,498,977,0,0,16284,49896
pibt_lite_only,g4d_offset512_512_high_density,no_fault,42,512,0,0,11741,26521
pibt_lite_only,g4d_offset64_repair512,repair_window,0,512,0,0,12288,23054
pibt_lite_only,g4d_offset64_static512,static_fault,0,512,0,0,12288,22267
model_plus_pibt_lite,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1479,12208
model_plus_pibt_lite,g4d_first144_no_fault,no_fault,144,144,0,0,213,1140
model_plus_pibt_lite,g4d_first256_no_fault,no_fault,256,256,0,0,371,2121
model_plus_pibt_lite,g4d_first512_no_fault,no_fault,512,512,0,0,714,4686
model_plus_pibt_lite,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,1796,26217
model_plus_pibt_lite,g4d_offset512_512_high_density,no_fault,512,512,0,0,765,7357
model_plus_pibt_lite,g4d_offset64_repair512,repair_window,512,512,0,0,713,5567
model_plus_pibt_lite,g4d_offset64_static512,static_fault,512,512,0,0,561,4932
model_plus_static_distance_fallback,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1485,12515
model_plus_static_distance_fallback,g4d_first144_no_fault,no_fault,144,144,0,0,213,1140
model_plus_static_distance_fallback,g4d_first256_no_fault,no_fault,256,256,0,0,371,2121
model_plus_static_distance_fallback,g4d_first512_no_fault,no_fault,512,512,0,0,714,4686
model_plus_static_distance_fallback,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,1811,27041
model_plus_static_distance_fallback,g4d_offset512_512_high_density,no_fault,512,512,0,0,771,7664
model_plus_static_distance_fallback,g4d_offset64_repair512,repair_window,512,512,0,0,713,5567
model_plus_static_distance_fallback,g4d_offset64_static512,static_fault,512,512,0,0,561,4932
model_plus_node_window_greedy,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1481,12240
model_plus_node_window_greedy,g4d_first144_no_fault,no_fault,144,144,0,0,213,1140
model_plus_node_window_greedy,g4d_first256_no_fault,no_fault,256,256,0,0,371,2121
model_plus_node_window_greedy,g4d_first512_no_fault,no_fault,512,512,0,0,714,4686
model_plus_node_window_greedy,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,1799,26291
model_plus_node_window_greedy,g4d_offset512_512_high_density,no_fault,512,512,0,0,767,7389
model_plus_node_window_greedy,g4d_offset64_repair512,repair_window,512,512,0,0,713,5567
model_plus_node_window_greedy,g4d_offset64_static512,static_fault,512,512,0,0,561,4932
model_plus_k_step_local_window,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1387,10486
model_plus_k_step_local_window,g4d_first144_no_fault,no_fault,144,144,0,0,187,976
model_plus_k_step_local_window,g4d_first256_no_fault,no_fault,256,256,0,0,333,1823
model_plus_k_step_local_window,g4d_first512_no_fault,no_fault,512,512,0,0,652,4101
model_plus_k_step_local_window,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,2455,32983
model_plus_k_step_local_window,g4d_offset512_512_high_density,no_fault,512,512,0,0,738,6406
model_plus_k_step_local_window,g4d_offset64_repair512,repair_window,512,512,0,0,651,4771
model_plus_k_step_local_window,g4d_offset64_static512,static_fault,512,512,0,0,561,4713
model_plus_pibt_lite_risk_abstain_off,g4d_first1024_no_fault,no_fault,1024,1024,0,0,0,10855
model_plus_pibt_lite_risk_abstain_off,g4d_first144_no_fault,no_fault,144,144,0,0,0,999
model_plus_pibt_lite_risk_abstain_off,g4d_first256_no_fault,no_fault,256,256,0,0,0,1860
model_plus_pibt_lite_risk_abstain_off,g4d_first512_no_fault,no_fault,512,512,0,0,0,4211
model_plus_pibt_lite_risk_abstain_off,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,0,24779
model_plus_pibt_lite_risk_abstain_off,g4d_offset512_512_high_density,no_fault,512,512,0,0,0,6494
model_plus_pibt_lite_risk_abstain_off,g4d_offset64_repair512,repair_window,512,512,0,0,0,4946
model_plus_pibt_lite_risk_abstain_off,g4d_offset64_static512,static_fault,512,512,0,0,0,4932
model_plus_pibt_lite_no_historical_risk,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1113,12208
model_plus_pibt_lite_no_historical_risk,g4d_first144_no_fault,no_fault,144,144,0,0,154,1140
model_plus_pibt_lite_no_historical_risk,g4d_first256_no_fault,no_fault,256,256,0,0,271,2121
model_plus_pibt_lite_no_historical_risk,g4d_first512_no_fault,no_fault,512,512,0,0,537,4686
model_plus_pibt_lite_no_historical_risk,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,1604,26217
model_plus_pibt_lite_no_historical_risk,g4d_offset512_512_high_density,no_fault,512,512,0,0,576,7357
model_plus_pibt_lite_no_historical_risk,g4d_offset64_repair512,repair_window,512,512,0,0,536,5567
model_plus_pibt_lite_no_historical_risk,g4d_offset64_static512,static_fault,512,512,0,0,384,4932
model_plus_pibt_lite_no_bottleneck_risk,g4d_first1024_no_fault,no_fault,1024,1024,0,0,1479,12208
model_plus_pibt_lite_no_bottleneck_risk,g4d_first144_no_fault,no_fault,144,144,0,0,213,1140
model_plus_pibt_lite_no_bottleneck_risk,g4d_first256_no_fault,no_fault,256,256,0,0,371,2121
model_plus_pibt_lite_no_bottleneck_risk,g4d_first512_no_fault,no_fault,512,512,0,0,714,4686
model_plus_pibt_lite_no_bottleneck_risk,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,1796,26217
model_plus_pibt_lite_no_bottleneck_risk,g4d_offset512_512_high_density,no_fault,512,512,0,0,765,7357
model_plus_pibt_lite_no_bottleneck_risk,g4d_offset64_repair512,repair_window,512,512,0,0,713,5567
model_plus_pibt_lite_no_bottleneck_risk,g4d_offset64_static512,static_fault,512,512,0,0,561,4932
model_plus_pibt_lite_margin_only,g4d_first1024_no_fault,no_fault,1024,1024,0,0,418,12208
model_plus_pibt_lite_margin_only,g4d_first144_no_fault,no_fault,144,144,0,0,62,1140
model_plus_pibt_lite_margin_only,g4d_first256_no_fault,no_fault,256,256,0,0,104,2121
model_plus_pibt_lite_margin_only,g4d_first512_no_fault,no_fault,512,512,0,0,179,4686
model_plus_pibt_lite_margin_only,g4d_offset2048_1024_high_density,no_fault,977,977,0,0,407,26217
model_plus_pibt_lite_margin_only,g4d_offset512_512_high_density,no_fault,512,512,0,0,239,7357
model_plus_pibt_lite_margin_only,g4d_offset64_repair512,repair_window,512,512,0,0,178,5567
model_plus_pibt_lite_margin_only,g4d_offset64_static512,static_fault,512,512,0,0,102,4932
