mode,sample_count,repeats,decision_count,elapsed_seconds,decisions_per_second,prediction_mismatches
python_runtime_text,208,200,41600,3.214234600076452,12942.428035281098,0
cpp_pybind_per_slice,208,200,41600,2.971628800034523,13999.056678787307,0
cpp_predict_many,208,200,41600,2.539669099962339,16380.08668161411,0
