source_file,reference_source_file,comparison_status,variant,reference_variant,case_id,map,scale,speed_mps,release,candidate_coordination,reference_coordination,binary_sha256,capacity_denominator_raw_bags_candidate,capacity_denominator_raw_bags_reference,capacity_denominator_raw_bags_delta,capacity_denominator_raw_bags_relative_delta,capacity_completed_raw_bags_candidate,capacity_completed_raw_bags_reference,capacity_completed_raw_bags_delta,capacity_completed_raw_bags_relative_delta,capacity_completion_rate_candidate,capacity_completion_rate_reference,capacity_completion_rate_delta,capacity_completion_rate_relative_delta,formal_timing_mean_seconds_candidate,formal_timing_mean_seconds_reference,formal_timing_mean_seconds_delta,formal_timing_mean_seconds_relative_delta,formal_timing_p95_seconds_candidate,formal_timing_p95_seconds_reference,formal_timing_p95_seconds_delta,formal_timing_p95_seconds_relative_delta,formal_timing_p99_seconds_candidate,formal_timing_p99_seconds_reference,formal_timing_p99_seconds_delta,formal_timing_p99_seconds_relative_delta,formal_timing_max_seconds_candidate,formal_timing_max_seconds_reference,formal_timing_max_seconds_delta,formal_timing_max_seconds_relative_delta,runtime_wall_seconds_candidate,runtime_wall_seconds_reference,runtime_wall_seconds_delta,runtime_wall_seconds_relative_delta,runtime_cpu_seconds_candidate,runtime_cpu_seconds_reference,runtime_cpu_seconds_delta,runtime_cpu_seconds_relative_delta,runtime_event_count_candidate,runtime_event_count_reference,runtime_event_count_delta,runtime_event_count_relative_delta,runtime_decision_count_candidate,runtime_decision_count_reference,runtime_decision_count_delta,runtime_decision_count_relative_delta
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a0_h_only\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,a0_h_only,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.76754202624144,210.55305735634744,0.21448466989400572,0.0010186727876907733,247.20200000003388,247.20199999999022,4.3655745685100555e-11,1.7659948416720854e-13,259.2019999999937,254.049499999997,5.152499999996678,0.020281480577591132,292.60199999999895,279.20199999999386,13.400000000005093,0.04799392554496525,25.495373100042343,23.265476000029594,2.2298971000127494,0.09584575445651372,25.15625,22.625,2.53125,0.11187845303867404,3887176,3878847,8329,0.0021472875831400414,336773,336711,62,0.00018413416847088454
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a1_h_q\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,a1_h_q,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.76115389742645,210.55305735634744,0.20809654107901565,0.0009883330296497463,247.20200000003388,247.20199999999022,4.3655745685100555e-11,1.7659948416720854e-13,259.2019999999937,254.049499999997,5.152499999996678,0.020281480577591132,292.60199999999895,279.20199999999386,13.400000000005093,0.04799392554496525,25.53252199990675,23.265476000029594,2.267045999877155,0.0974424937565976,25.109375,22.625,2.484375,0.10980662983425414,3886014,3878847,7167,0.0018477140242963953,336685,336711,-26,-7.721755452004834e-05
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a2_h_q_i\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,a2_h_q_i,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.55165940503892,210.55305735634744,-0.001397951308518941,-6.639425359438019e-06,247.20199999999022,247.20199999999022,0.0,0.0,254.00200000001496,254.049499999997,-0.04749999998205112,-0.00018697143659818927,279.20199999999386,279.20199999999386,0.0,0.0,25.398365099914372,23.265476000029594,2.1328890998847783,0.09167614279123562,25.078125,22.625,2.453125,0.10842541436464088,3879900,3878847,1053,0.0002714724246664022,336791,336711,80,0.00023759247544630262
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,a4_full,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.55305735634744,210.55305735634744,0.0,0.0,247.20199999999022,247.20199999999022,0.0,0.0,254.049499999997,254.049499999997,0.0,0.0,279.20199999999386,279.20199999999386,0.0,0.0,23.265476000029594,23.265476000029594,0.0,0.0,22.625,22.625,0.0,0.0,3878847,3878847,0,0.0,336711,336711,0,0.0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b1_full_minus_q\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,b1_full_minus_q,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.55907012558896,210.55305735634744,0.0060127692415221645,2.8557026513967648e-05,247.20199999999022,247.20199999999022,0.0,0.0,254.05199999999604,254.049499999997,0.002499999999031388,9.840601926126276e-06,285.80199999999604,279.20199999999386,6.600000000002183,0.02363879914901157,25.628470200113952,23.265476000029594,2.3629942000843585,0.10156655295087677,25.296875,22.625,2.671875,0.1180939226519337,3879997,3878847,1150,0.0002964798559984449,336794,336711,83,0.00024650219327553897
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b2_full_minus_i\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,b2_full_minus_i,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.76115389742645,210.55305735634744,0.20809654107901565,0.0009883330296497463,247.20200000003388,247.20199999999022,4.3655745685100555e-11,1.7659948416720854e-13,259.2019999999937,254.049499999997,5.152499999996678,0.020281480577591132,292.60199999999895,279.20199999999386,13.400000000005093,0.04799392554496525,25.48875609994866,23.265476000029594,2.223280099919066,0.09556134161691933,25.296875,22.625,2.671875,0.1180939226519337,3886014,3878847,7167,0.0018477140242963953,336685,336711,-26,-7.721755452004834e-05
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b5_full_minus_strict_descent\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,b5_full_minus_strict_descent,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.55305735634744,210.55305735634744,0.0,0.0,247.20199999999022,247.20199999999022,0.0,0.0,254.049499999997,254.049499999997,0.0,0.0,279.20199999999386,279.20199999999386,0.0,0.0,25.46445279987529,23.265476000029594,2.1989767998456955,0.09451673371492156,25.109375,22.625,2.484375,0.10980662983425414,3878847,3878847,0,0.0,336711,336711,0,0.0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\c_fifo\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,c_fifo,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,neutral_fifo,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.54564663579737,210.55305735634744,-0.007410720550069527,-3.5196451873540654e-05,247.20199999999022,247.20199999999022,0.0,0.0,254.00199999999677,254.049499999997,-0.047500000000241016,-0.00018697143666978906,278.20199999999386,279.20199999999386,-1.0,-0.003581636234697538,25.261575900018215,23.265476000029594,1.9960998999886215,0.08579664993684559,25.015625,22.625,2.390625,0.10566298342541436,3878593,3878847,-254,-6.54833768900913e-05,336708,336711,-3,-8.909717829236348e-06
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\f1_service_rate_normalized\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,f1_service_rate_normalized,a4_full,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,210.55305735634744,210.55305735634744,0.0,0.0,247.20199999999022,247.20199999999022,0.0,0.0,254.049499999997,254.049499999997,0.0,0.0,279.20199999999386,279.20199999999386,0.0,0.0,25.432360699865967,23.265476000029594,2.1668846998363733,0.09313734650576748,25.078125,22.625,2.453125,0.10842541436464088,3878847,3878847,0,0.0,336711,336711,0,0.0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a0_h_only\nanning_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\nanning_1x.json,MATCHED_SAME_SHA_A4_CAPACITY_AND_FORMAL_1X_TIMING,a0_h_only,a4_full,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,28506,0,0.0,28506,28506,0,0.0,1.0,1.0,0.0,0.0,281.7237447204141,282.9330630393633,-1.2093183189491583,-0.004274220573439701,473.15199999998913,475.3385000000035,-2.186500000014348,-0.004599879875108648,552.3691999999978,553.4658999999936,-1.0966999999957352,-0.0019815132242036013,808.585000000021,812.6979999999967,-4.112999999975727,-0.005060920538718865,47.547456400003284,47.52039399999194,0.027062400011345744,0.0005694902279503477,46.96875,46.6875,0.28125,0.006024096385542169,6336627,6654023,-317396,-0.047699865179305814,552825,587000,-34175,-0.05821976149914821
