scenario,context,constraint_variant,variant_role,max_tasks,planned,unplanned,node_window_conflicts,active_edge_conflicts,active_merge_conflicts,validated_primary_conflicts,diagnostic_edge_capacity1_overlaps,diagnostic_merge_group_overlaps,legacy_path_match_count,legacy_path_mismatch_count,inserted_wait_task_count,edge_capacity_model,merge_group_model,teacher_route_source
legacy_first16,no_fault,cie_node_window_primary,primary_original_java_scope,16,16,0,0,0,0,0,28,0,16,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first16_buffer2,buffer_capacity,cie_node_window_primary,primary_original_java_scope,16,16,0,0,0,0,0,28,0,16,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first32,no_fault,cie_node_window_primary,primary_original_java_scope,32,31,1,0,0,0,0,81,0,31,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset32_static16,static_fault,cie_node_window_primary,primary_original_java_scope,16,16,0,0,0,0,0,38,0,16,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset64_repair32,repair_window,cie_node_window_primary,primary_original_java_scope,32,24,8,0,0,0,0,129,0,24,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset64_merge32,merge_group_window,cie_node_window_primary,primary_original_java_scope,32,24,8,0,0,0,0,129,25,24,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first16,no_fault,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,16,16,0,0,0,0,0,28,0,16,0,0,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_first16_buffer2,buffer_capacity,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,16,16,0,0,0,0,0,28,0,16,0,0,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_first32,no_fault,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,32,31,1,0,0,0,0,81,0,31,0,0,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_offset32_static16,static_fault,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,16,16,0,0,0,0,0,38,0,16,0,0,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_offset64_repair32,repair_window,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,32,24,8,0,0,0,0,129,0,24,0,0,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_offset64_merge32,merge_group_window,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,32,26,6,0,0,0,0,44,0,26,0,18,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
legacy_first16,no_fault,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,16,16,0,0,0,0,0,0,0,16,0,8,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first16_buffer2,buffer_capacity,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,16,16,0,0,0,0,0,0,0,16,0,8,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first32,no_fault,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,32,32,0,0,0,0,0,0,0,32,0,20,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset32_static16,static_fault,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,16,16,0,0,0,0,0,0,0,16,0,12,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset64_repair32,repair_window,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,32,26,6,0,0,0,0,0,0,26,0,22,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_offset64_merge32,merge_group_window,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,32,26,6,0,0,0,0,0,8,26,0,22,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
legacy_first16,no_fault,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,16,16,0,0,0,0,0,0,0,16,0,8,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
legacy_first16_buffer2,buffer_capacity,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,16,16,0,0,0,0,0,0,0,16,0,8,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
legacy_first32,no_fault,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,32,32,0,0,0,0,0,0,0,32,0,20,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
legacy_offset32_static16,static_fault,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,16,16,0,0,0,0,0,0,0,16,0,12,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
legacy_offset64_repair32,repair_window,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,32,26,6,0,0,0,0,0,0,26,0,22,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
legacy_offset64_merge32,merge_group_window,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,32,26,6,0,0,0,0,0,0,26,0,21,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
ALL,aggregate,cie_node_window_primary,primary_original_java_scope,144,127,17,0,0,0,0,433,25,127,0,0,not_applied_original_cie_node_window_primary,not_applied_original_java_primary,original_cie_legacy_astar
ALL,aggregate,cie_plus_edge_capacity1_diagnostic,diagnostic_unverified_edge_capacity,144,132,12,0,0,0,0,0,8,132,0,92,diagnostic_explicit_edge_capacity_1,not_applied_original_java_primary,original_cie_legacy_astar
ALL,aggregate,cie_plus_edge_capacity1_merge_diagnostic,diagnostic_previous_g3i_style,144,132,12,0,0,0,0,0,0,132,0,91,diagnostic_explicit_edge_capacity_1,diagnostic_enabled,original_cie_legacy_astar
ALL,aggregate,cie_plus_merge_group_diagnostic,diagnostic_unverified_merge_group,144,129,15,0,0,0,0,348,0,129,0,18,not_applied_original_cie_node_window_primary,diagnostic_enabled,original_cie_legacy_astar
