policy,window_name,task_id,segment_id,goal_reached,failed_reason,steps,wait_events,wait_seconds,source_wait_seconds,loop_count,nonprogress_steps,learner_path,teacher_path
model_only_no_astar,g4d_first1024_no_fault,17,17:storage_in,True,,10,1,1.181711,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,21,21:storage_in,True,,10,1,0.263501,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,27,27:storage_in,True,,7,1,0.622311,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,31,31:storage_in,True,,9,1,1.205111,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,33,33:storage_in,True,,8,1,0.949592,0,0,1,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,35,35:storage_in,True,,7,1,0.639031,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,36,36:storage_in,True,,9,1,0.251801,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,40,40:storage_in,True,,8,2,0.295172,0,0,2,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,45,45:storage_in,True,,9,1,1.337751,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,46,46:storage_in,True,,7,1,0.800092,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,51,51:storage_in,True,,7,1,1.253631,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,59,59:storage_in,True,,9,1,1.381801,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,60,60:storage_in,True,,7,1,0.806162,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,61,61:storage_in,True,,7,2,1.220843,0,0,2,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,62,62:storage_in,True,,7,2,0.933314,0,0,2,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,66,66:storage_in,True,,7,1,0.574611,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,67,67:storage_in,True,,9,1,0.251951,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,70,70:storage_in,True,,10,1,0.160941,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,73,73:storage_in,True,,7,1,0.431491,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,72,72:storage_in,True,,8,1,3.467422,0,0,1,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,76,76:storage_in,True,,10,1,0.452761,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,81,81:storage_in,True,,7,1,0.800001,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,85,85:storage_in,True,,9,1,1.381791,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,86,86:storage_in,True,,7,1,0.287831,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,88,88:storage_in,True,,10,1,1.338861,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,90,90:storage_in,True,,8,1,1.000001,0,0,1,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,91,91:storage_in,True,,7,1,2.978692,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,98,98:storage_in,True,,7,1,0.351401,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,100,100:storage_in,True,,7,1,3.164241,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,101,101:storage_in,True,,8,2,1.693182,0,0,2,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,121,121:storage_in,True,,7,1,0.317011,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,124,124:storage_in,True,,7,1,0.000001,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,126,126:storage_in,True,,7,2,3.266681,0,0,2,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,128,128:storage_in,True,,7,2,4.238251,0,0,2,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,132,132:storage_in,True,,7,1,2.494631,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,134,134:storage_in,True,,7,2,4.294632,0,0,2,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,135,135:storage_in,True,,8,2,4.804501,0,0,2,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,138,138:storage_in,True,,7,1,5.133471,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,140,140:storage_in,True,,8,2,1.800132,0,0,2,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,141,141:storage_in,True,,7,1,3.822991,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,156,156:storage_in,True,,7,1,0.600001,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,162,162:storage_in,True,,7,1,3.978721,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,164,164:storage_in,True,,7,1,4.921161,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,163,163:storage_in,True,,8,3,5.148232,0,0,3,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,165,165:storage_in,True,,7,1,4.921163,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,167,167:storage_in,True,,9,1,0.378384,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,169,169:storage_in,True,,7,1,6.621041,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,170,170:storage_in,True,,10,1,0.928352,0,0,1,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,171,171:storage_in,True,,7,1,7.235753,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,172,172:storage_in,True,,7,1,6.396914,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,173,173:storage_in,True,,7,1,6.369835,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,175,175:storage_in,True,,8,1,0.569836,0,0,1,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,176,176:storage_in,True,,7,1,2.507091,0,0,1,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,178,178:storage_in,True,,7,1,1.640542,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,182,182:storage_in,True,,9,1,0.158591,0,0,1,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,186,186:storage_in,True,,8,1,1.848421,0,0,1,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 8, 11, 14, 46, 36, 38, 39, 47]"
model_only_no_astar,g4d_first1024_no_fault,206,206:storage_in,True,,7,1,0.467381,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
model_only_no_astar,g4d_first1024_no_fault,210,210:storage_in,True,,7,1,0.386921,0,0,1,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 38, 39, 47]"
