scenario,context,replay_variant,node_kind,decision_count,move_now_legacy,hold_until_safe,reroute_now_legacy,primary_g4a_labels,effective_label_coverage,no_path,repair_or_fallback,blocked_or_abstain
legacy_first16,no_fault,g3c_baseline_reproduction,all,168,117,0,0,117,0.6964285714285714,0,0,51
legacy_first16,no_fault,g3c_baseline_reproduction,branch,82,53,0,0,53,0.6463414634146342,0,0,29
legacy_first16,no_fault,g3c_baseline_reproduction,linear,86,64,0,0,64,0.7441860465116279,0,0,22
legacy_first16,no_fault,wait_fixed_hold_1s,all,168,117,49,0,166,0.9880952380952381,0,0,2
legacy_first16,no_fault,wait_fixed_hold_1s,branch,82,53,27,0,80,0.975609756097561,0,0,2
legacy_first16,no_fault,wait_fixed_hold_1s,linear,86,64,22,0,86,1.0,0,0,0
legacy_first16,no_fault,wait_fixed_hold_2s,all,145,117,26,0,143,0.9862068965517241,0,0,2
legacy_first16,no_fault,wait_fixed_hold_2s,branch,68,53,13,0,66,0.9705882352941176,0,0,2
legacy_first16,no_fault,wait_fixed_hold_2s,linear,77,64,13,0,77,1.0,0,0,0
legacy_first16,no_fault,wait_fixed_hold_5s,all,137,118,16,0,134,0.9781021897810219,3,0,0
legacy_first16,no_fault,wait_fixed_hold_5s,branch,63,55,8,0,63,1.0,0,0,0
legacy_first16,no_fault,wait_fixed_hold_5s,linear,74,63,8,0,71,0.9594594594594594,3,0,0
legacy_first16,no_fault,jump_to_earliest_safe_time,all,125,97,21,0,118,0.944,7,0,0
legacy_first16,no_fault,jump_to_earliest_safe_time,branch,55,40,15,0,55,1.0,0,0,0
legacy_first16,no_fault,jump_to_earliest_safe_time,linear,70,57,6,0,63,0.9,7,0,0
legacy_first16,no_fault,reroute_from_current_legacy,all,171,135,0,4,139,0.8128654970760234,0,0,32
legacy_first16,no_fault,reroute_from_current_legacy,branch,72,59,0,4,63,0.875,0,0,9
legacy_first16,no_fault,reroute_from_current_legacy,linear,99,76,0,0,76,0.7676767676767676,0,0,23
legacy_first16,no_fault,ablation_edge_capacity_2,all,121,119,0,0,119,0.9834710743801653,0,0,2
legacy_first16,no_fault,ablation_edge_capacity_2,branch,57,55,0,0,55,0.9649122807017544,0,0,2
legacy_first16,no_fault,ablation_edge_capacity_2,linear,64,64,0,0,64,1.0,0,0,0
legacy_first16,no_fault,ablation_disable_edge_capacity,all,121,121,0,0,121,1.0,0,0,0
legacy_first16,no_fault,ablation_disable_edge_capacity,branch,57,57,0,0,57,1.0,0,0,0
legacy_first16,no_fault,ablation_disable_edge_capacity,linear,64,64,0,0,64,1.0,0,0,0
legacy_first16,no_fault,ablation_disable_merge_group,all,168,117,0,0,117,0.6964285714285714,0,0,51
legacy_first16,no_fault,ablation_disable_merge_group,branch,82,53,0,0,53,0.6463414634146342,0,0,29
legacy_first16,no_fault,ablation_disable_merge_group,linear,86,64,0,0,64,0.7441860465116279,0,0,22
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,all,125,97,21,0,118,0.944,7,0,0
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,branch,55,40,15,0,55,1.0,0,0,0
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,linear,70,57,6,0,63,0.9,7,0,0
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,all,168,117,0,0,117,0.6964285714285714,0,0,51
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,branch,82,53,0,0,53,0.6463414634146342,0,0,29
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,linear,86,64,0,0,64,0.7441860465116279,0,0,22
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,all,168,117,49,0,166,0.9880952380952381,0,0,2
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,branch,82,53,27,0,80,0.975609756097561,0,0,2
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,linear,86,64,22,0,86,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,all,145,117,26,0,143,0.9862068965517241,0,0,2
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,branch,68,53,13,0,66,0.9705882352941176,0,0,2
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,linear,77,64,13,0,77,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,all,137,118,16,0,134,0.9781021897810219,3,0,0
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,branch,63,55,8,0,63,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,linear,74,63,8,0,71,0.9594594594594594,3,0,0
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,all,125,97,21,0,118,0.944,7,0,0
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,branch,55,40,15,0,55,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,linear,70,57,6,0,63,0.9,7,0,0
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,all,171,135,0,4,139,0.8128654970760234,0,0,32
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,branch,72,59,0,4,63,0.875,0,0,9
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,linear,99,76,0,0,76,0.7676767676767676,0,0,23
legacy_first16_buffer2,buffer_capacity,ablation_edge_capacity_2,all,121,119,0,0,119,0.9834710743801653,0,0,2
legacy_first16_buffer2,buffer_capacity,ablation_edge_capacity_2,branch,57,55,0,0,55,0.9649122807017544,0,0,2
legacy_first16_buffer2,buffer_capacity,ablation_edge_capacity_2,linear,64,64,0,0,64,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,ablation_disable_edge_capacity,all,121,121,0,0,121,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,ablation_disable_edge_capacity,branch,57,57,0,0,57,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,ablation_disable_edge_capacity,linear,64,64,0,0,64,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,ablation_disable_merge_group,all,168,117,0,0,117,0.6964285714285714,0,0,51
legacy_first16_buffer2,buffer_capacity,ablation_disable_merge_group,branch,82,53,0,0,53,0.6463414634146342,0,0,29
legacy_first16_buffer2,buffer_capacity,ablation_disable_merge_group,linear,86,64,0,0,64,0.7441860465116279,0,0,22
legacy_first16_buffer2,buffer_capacity,hybrid_legacy_wait_sipp_fallback,all,125,97,21,0,118,0.944,7,0,0
legacy_first16_buffer2,buffer_capacity,hybrid_legacy_wait_sipp_fallback,branch,55,40,15,0,55,1.0,0,0,0
legacy_first16_buffer2,buffer_capacity,hybrid_legacy_wait_sipp_fallback,linear,70,57,6,0,63,0.9,7,0,0
legacy_first32,no_fault,g3c_baseline_reproduction,all,335,211,0,0,211,0.6298507462686567,4,0,120
legacy_first32,no_fault,g3c_baseline_reproduction,branch,169,87,0,0,87,0.514792899408284,0,0,82
legacy_first32,no_fault,g3c_baseline_reproduction,linear,166,124,0,0,124,0.7469879518072289,4,0,38
legacy_first32,no_fault,wait_fixed_hold_1s,all,335,211,109,0,320,0.9552238805970149,4,0,11
legacy_first32,no_fault,wait_fixed_hold_1s,branch,169,87,75,0,162,0.9585798816568047,0,0,7
legacy_first32,no_fault,wait_fixed_hold_1s,linear,166,124,34,0,158,0.9518072289156626,4,0,4
legacy_first32,no_fault,wait_fixed_hold_2s,all,282,210,59,0,269,0.9539007092198581,3,0,10
legacy_first32,no_fault,wait_fixed_hold_2s,branch,132,87,38,0,125,0.946969696969697,0,0,7
legacy_first32,no_fault,wait_fixed_hold_2s,linear,150,123,21,0,144,0.96,3,0,3
legacy_first32,no_fault,wait_fixed_hold_5s,all,275,223,31,0,254,0.9236363636363636,15,0,6
legacy_first32,no_fault,wait_fixed_hold_5s,branch,114,94,15,0,109,0.956140350877193,0,0,5
legacy_first32,no_fault,wait_fixed_hold_5s,linear,161,129,16,0,145,0.9006211180124224,15,0,1
legacy_first32,no_fault,jump_to_earliest_safe_time,all,246,177,41,0,218,0.8861788617886179,21,0,7
legacy_first32,no_fault,jump_to_earliest_safe_time,branch,96,66,27,0,93,0.96875,0,0,3
legacy_first32,no_fault,jump_to_earliest_safe_time,linear,150,111,14,0,125,0.8333333333333334,21,0,4
legacy_first32,no_fault,reroute_from_current_legacy,all,356,250,0,8,258,0.7247191011235955,2,0,96
legacy_first32,no_fault,reroute_from_current_legacy,branch,168,104,0,8,112,0.6666666666666666,0,0,56
legacy_first32,no_fault,reroute_from_current_legacy,linear,188,146,0,0,146,0.776595744680851,2,0,40
legacy_first32,no_fault,ablation_edge_capacity_2,all,265,231,0,0,231,0.8716981132075472,7,0,27
legacy_first32,no_fault,ablation_edge_capacity_2,branch,123,100,0,0,100,0.8130081300813008,0,0,23
legacy_first32,no_fault,ablation_edge_capacity_2,linear,142,131,0,0,131,0.9225352112676056,7,0,4
legacy_first32,no_fault,ablation_disable_edge_capacity,all,255,249,0,0,249,0.9764705882352941,6,0,0
legacy_first32,no_fault,ablation_disable_edge_capacity,branch,114,114,0,0,114,1.0,0,0,0
legacy_first32,no_fault,ablation_disable_edge_capacity,linear,141,135,0,0,135,0.9574468085106383,6,0,0
legacy_first32,no_fault,ablation_disable_merge_group,all,335,211,0,0,211,0.6298507462686567,4,0,120
legacy_first32,no_fault,ablation_disable_merge_group,branch,169,87,0,0,87,0.514792899408284,0,0,82
legacy_first32,no_fault,ablation_disable_merge_group,linear,166,124,0,0,124,0.7469879518072289,4,0,38
legacy_first32,no_fault,hybrid_legacy_wait_sipp_fallback,all,246,175,41,0,216,0.8780487804878049,21,2,7
legacy_first32,no_fault,hybrid_legacy_wait_sipp_fallback,branch,96,66,27,0,93,0.96875,0,0,3
legacy_first32,no_fault,hybrid_legacy_wait_sipp_fallback,linear,150,109,14,0,123,0.82,21,2,4
legacy_offset32_static16,static_fault,g3c_baseline_reproduction,all,190,110,0,0,110,0.5789473684210527,6,0,74
legacy_offset32_static16,static_fault,g3c_baseline_reproduction,branch,103,38,0,0,38,0.36893203883495146,0,0,65
legacy_offset32_static16,static_fault,g3c_baseline_reproduction,linear,87,72,0,0,72,0.8275862068965517,6,0,9
legacy_offset32_static16,static_fault,wait_fixed_hold_1s,all,190,110,67,0,177,0.9315789473684211,6,0,7
legacy_offset32_static16,static_fault,wait_fixed_hold_1s,branch,103,38,59,0,97,0.941747572815534,0,0,6
legacy_offset32_static16,static_fault,wait_fixed_hold_1s,linear,87,72,8,0,80,0.9195402298850575,6,0,1
legacy_offset32_static16,static_fault,wait_fixed_hold_2s,all,160,111,39,0,150,0.9375,3,0,7
legacy_offset32_static16,static_fault,wait_fixed_hold_2s,branch,79,38,34,0,72,0.9113924050632911,0,0,7
legacy_offset32_static16,static_fault,wait_fixed_hold_2s,linear,81,73,5,0,78,0.9629629629629629,3,0,0
legacy_offset32_static16,static_fault,wait_fixed_hold_5s,all,162,113,28,0,141,0.8703703703703703,19,0,2
legacy_offset32_static16,static_fault,wait_fixed_hold_5s,branch,70,43,25,0,68,0.9714285714285714,0,0,2
legacy_offset32_static16,static_fault,wait_fixed_hold_5s,linear,92,70,3,0,73,0.7934782608695652,19,0,0
legacy_offset32_static16,static_fault,jump_to_earliest_safe_time,all,134,99,18,0,117,0.8731343283582089,10,0,7
legacy_offset32_static16,static_fault,jump_to_earliest_safe_time,branch,48,27,14,0,41,0.8541666666666666,0,0,7
legacy_offset32_static16,static_fault,jump_to_earliest_safe_time,linear,86,72,4,0,76,0.8837209302325582,10,0,0
legacy_offset32_static16,static_fault,reroute_from_current_legacy,all,193,126,0,4,130,0.6735751295336787,5,0,58
legacy_offset32_static16,static_fault,reroute_from_current_legacy,branch,103,49,0,4,53,0.5145631067961165,0,0,50
legacy_offset32_static16,static_fault,reroute_from_current_legacy,linear,90,77,0,0,77,0.8555555555555555,5,0,8
legacy_offset32_static16,static_fault,ablation_edge_capacity_2,all,142,113,0,0,113,0.795774647887324,10,0,19
legacy_offset32_static16,static_fault,ablation_edge_capacity_2,branch,62,43,0,0,43,0.6935483870967742,0,0,19
legacy_offset32_static16,static_fault,ablation_edge_capacity_2,linear,80,70,0,0,70,0.875,10,0,0
legacy_offset32_static16,static_fault,ablation_disable_edge_capacity,all,129,119,0,0,119,0.9224806201550387,10,0,0
legacy_offset32_static16,static_fault,ablation_disable_edge_capacity,branch,49,49,0,0,49,1.0,0,0,0
legacy_offset32_static16,static_fault,ablation_disable_edge_capacity,linear,80,70,0,0,70,0.875,10,0,0
legacy_offset32_static16,static_fault,ablation_disable_merge_group,all,190,110,0,0,110,0.5789473684210527,6,0,74
legacy_offset32_static16,static_fault,ablation_disable_merge_group,branch,103,38,0,0,38,0.36893203883495146,0,0,65
legacy_offset32_static16,static_fault,ablation_disable_merge_group,linear,87,72,0,0,72,0.8275862068965517,6,0,9
legacy_offset32_static16,static_fault,hybrid_legacy_wait_sipp_fallback,all,134,96,18,0,114,0.8507462686567164,10,3,7
legacy_offset32_static16,static_fault,hybrid_legacy_wait_sipp_fallback,branch,48,27,14,0,41,0.8541666666666666,0,0,7
legacy_offset32_static16,static_fault,hybrid_legacy_wait_sipp_fallback,linear,86,69,4,0,73,0.8488372093023255,10,3,0
legacy_offset64_repair32,repair_window,g3c_baseline_reproduction,all,326,176,0,0,176,0.5398773006134969,13,0,137
legacy_offset64_repair32,repair_window,g3c_baseline_reproduction,branch,148,56,0,0,56,0.3783783783783784,0,0,92
legacy_offset64_repair32,repair_window,g3c_baseline_reproduction,linear,178,120,0,0,120,0.6741573033707865,13,0,45
legacy_offset64_repair32,repair_window,wait_fixed_hold_1s,all,326,176,115,0,291,0.8926380368098159,13,0,22
legacy_offset64_repair32,repair_window,wait_fixed_hold_1s,branch,148,56,80,0,136,0.918918918918919,0,0,12
