case_id,standard_speed_mps,deviation_percent,archived_dynamic_minutes,archived_static_minutes,s4_minutes,s4_beats_archived_dynamic_mean,status
t5_4_bias_std_1p5_dev_10,1.5,10,6.45,6.59,5.850756361161042,True,COMPLETE
t5_4_bias_std_1p5_dev_20,1.5,20,6.67,6.86,5.955953806353896,True,COMPLETE
t5_4_bias_std_1p5_dev_30,1.5,30,6.91,7.11,6.059098730866856,True,COMPLETE
t5_4_bias_std_2_dev_10,2.0,10,4.92,5.07,4.459164143771505,True,COMPLETE
t5_4_bias_std_2_dev_20,2.0,20,5.16,5.36,4.564667310194298,True,COMPLETE
t5_4_bias_std_2_dev_30,2.0,30,5.42,5.62,4.668816914426484,True,COMPLETE
t5_4_bias_std_2p5_dev_10,2.5,10,3.99,4.19,3.6384681144429263,True,COMPLETE
t5_4_bias_std_2p5_dev_20,2.5,20,4.25,4.46,3.745113414830242,True,COMPLETE
t5_4_bias_std_2p5_dev_30,2.5,30,4.49,4.72,3.8469030410884724,True,COMPLETE
t5_4_bias_std_3_dev_10,3.0,10,3.39,3.56,3.078373841472804,True,COMPLETE
t5_4_bias_std_3_dev_20,3.0,20,3.51,3.72,3.1850056750794193,True,COMPLETE
t5_4_bias_std_3_dev_30,3.0,30,3.64,3.87,3.2886349562605206,True,COMPLETE
