window_name,context,planned,max_tasks,node_window_conflicts,edge_capacity_primary,edge_overlap_counted_as_primary,diagnostic_edge_overlap_only
g4d_first144_no_fault,no_fault,144,144,0,False,False,711
g4d_first256_no_fault,no_fault,256,256,0,False,False,1379
g4d_first512_no_fault,no_fault,512,512,0,False,False,3250
g4d_first1024_no_fault,no_fault,1024,1024,0,False,False,9081
g4d_offset512_512_high_density,no_fault,512,512,0,False,False,5632
g4d_offset2048_1024_high_density,no_fault,977,1024,0,False,False,26116
g4d_offset64_static512,static_fault,512,512,0,False,False,3694
g4d_offset64_repair512,repair_window,512,512,0,False,False,3941
