scenario,scenario_context,segment_id,task_id,task_global_index,source_line,failure_motif,is_g2_failed_task,is_g2_first_divergence,current,goal,ready_time,teacher_next,teacher_next_in_candidate,teacher_next_in_safe_mask,teacher_next_block_reason,candidate_count,safe_candidate_count,candidate_next_nodes,safe_next_nodes,executed_next,executed_kind,oracle_reason,edge_pressure_15s,node_pressure_15s,edge_pressure_30s,node_pressure_30s,edge_pressure_60s,node_pressure_60s,blocked_reasons_summary
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,3,47,10675.8454,16,True,True,,2,2,16 3,16 3,16,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,True,16,47,10678.4454,21,True,True,,3,3,17 21 16,17 21 16,17,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,17:storage_in,17,17,19,hold_when_sipp_moves,True,False,2,47,10681.47782,9,True,True,,2,2,9 2,9 2,9,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,17,47,10683.0454,,False,False,current_not_on_teacher_path,2,2,18 17,18 17,18,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,0,47,10684.10647,6,True,True,,2,2,6 0,6 0,6,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,18,47,10685.645400000001,,False,False,current_not_on_teacher_path,2,1,22 18,18,18,hold,edge_score,0,1,0,1,0,1,22:edge_capacity
legacy_first32,no_fault,17:storage_in,17,17,19,hold_when_sipp_moves,True,False,9,47,10686.07782,7,True,True,,3,3,7 10 9,7 10 9,7,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,18,47,10686.645400000001,,False,False,current_not_on_teacher_path,2,1,22 18,18,18,hold,edge_score,0,1,0,1,0,1,22:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,1,47,10686.81115,7,True,True,,2,2,7 1,7 1,7,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,18,47,10687.645400000001,,False,False,current_not_on_teacher_path,2,1,22 18,18,18,hold,edge_score,0,1,0,1,0,1,22:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,True,6,47,10688.306470000001,12,True,True,,3,3,8 12 6,8 12 6,8,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,18,47,10688.645400000001,,False,False,current_not_on_teacher_path,2,1,22 18,18,18,hold,edge_score,0,2,0,2,0,2,22:edge_capacity
legacy_first32,no_fault,15:storage_in,15,15,17,wrong_branch_vs_sipp,True,False,18,47,10689.645400000001,,False,False,current_not_on_teacher_path,2,0,22 18,,18,none,edge_score,,,,,,,22:edge_capacity|18:node_reservation
legacy_first32,no_fault,17:storage_in,17,17,19,hold_when_sipp_moves,True,True,7,47,10689.87782,8,True,False,node_reservation,2,1,8 7,7,7,hold,edge_score,0,2,0,2,0,2,8:node_reservation
legacy_first32,no_fault,17:storage_in,17,17,19,hold_when_sipp_moves,True,False,7,47,10690.87782,8,True,True,,2,1,8 7,8,8,move,edge_score,0,0,0,0,0,0,7:node_reservation
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,8,47,10692.10647,,False,False,current_not_on_teacher_path,2,1,11 8,11,11,move,edge_score,0,0,0,0,0,0,8:node_reservation
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,7,47,10692.611149999999,8,True,True,,2,2,8 7,8 7,8,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,17:storage_in,17,17,19,hold_when_sipp_moves,True,False,8,47,10693.47782,11,True,False,edge_capacity,2,0,11 8,,8,none,edge_score,,,,,,,11:edge_capacity|8:node_reservation
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,True,8,47,10695.21115,11,True,False,edge_capacity,2,1,11 8,8,8,hold,edge_score,0,1,0,1,0,1,11:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,8,47,10696.21115,11,True,True,,2,2,11 8,11 8,11,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,11,47,10696.306470000001,,False,False,current_not_on_teacher_path,3,3,13 14 11,13 14 11,14,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,11,47,10700.41115,13,True,True,,3,2,13 14 11,13 11,13,move,edge_score,0,0,0,0,0,0,14:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,14,47,10710.10647,,False,False,current_not_on_teacher_path,2,2,46 14,46 14,46,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,13,47,10712.61115,23,True,True,,2,2,23 13,23 13,23,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10712.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10713.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10714.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10715.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10716.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,23,47,10716.811150000001,24,True,True,,2,2,24 23,24 23,24,move,edge_score,0,1,0,1,0,1,
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10717.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10718.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,24,47,10719.411150000002,27,True,True,,2,2,27 24,27 24,27,move,edge_score,0,0,0,0,0,0,
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10719.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10720.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10721.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,27,47,10722.011150000002,28,True,False,edge_capacity,3,1,28 45 27,27,27,hold,edge_score,0,1,0,1,0,1,28:edge_capacity|45:unreachable_goal
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10722.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,1,0,1,0,1,35:unreachable_goal|36:edge_capacity
legacy_first32,no_fault,19:storage_in,19,19,21,hold_when_sipp_moves,True,False,27,47,10723.011150000002,28,True,False,edge_capacity,3,1,28 45 27,27,27,hold,edge_score,0,2,0,2,0,2,28:edge_capacity|45:unreachable_goal
legacy_first32,no_fault,18:storage_in,18,18,20,wrong_branch_vs_sipp,True,False,46,47,10723.706470000001,,False,False,current_not_on_teacher_path,3,1,35 36 46,46,46,hold,edge_score,0,2,0,2,0,2,35:unreachable_goal|36:edge_capacity
