repeat,start_epoch,max_epochs,max_new_tasks,epochs_run,generated_count,planned_count,completed_count,active_route_count,unfinished_count,route_size_checksum,route_location_checksum,last_epoch
1,8260,5000,64,4211,64,63,57,6,1,575,85226,12470.0
2,8260,5000,64,4211,64,63,57,6,1,575,85226,12470.0
3,8260,5000,64,4211,64,63,57,6,1,575,85226,12470.0
