decision_id,runtime_bag_id,task_id,segment_id,source_node,goal_node,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,raw_arrival_to_release_delta_seconds,source_queue_rank,mapping_source
trace_highflow_4p0:172:509,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2409:510,60,2409,2409:storage_in:g4irsf11_c0:trace_highflow_4p0,5,47,20362.302651968643,20362,20362.302651968643,0.3026519686427491,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:172:511,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:172:512,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:172:513,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:514,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:172:515,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:516,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:517,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:518,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:519,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
