policy,max_tasks,elapsed_seconds,steps,truncated,planned_count,unplanned_count,mean_travel_time,p95_travel_time,node_reservation_conflicts,edge_reservation_conflicts,post_shield_conflicts,shield_blocks,unsafe_proposals,total_reward
astar_guided_safe,8,0.0198787999979686,78,False,8,0,49.749999999999545,55.38999999999987,0,0,0,0,0,-202.49999999999636
random_safe,16,0.05078199999843491,1927,False,1,15,53.19999999999891,53.19999999999891,0,0,0,0,0,-4657.050000000005
