map,nominal_load_factor,status,raw_bag_denominator,completed_raw_bag_count,completion_rate,on_time_count,on_time_rate,wall_seconds,cpu_seconds,decision_count,multi_candidate_decision_count,strict_evaluation_count,strict_filtered_candidate_count,strict_filtered_decision_count,strict_empty_ranking_count,merge_grant_service_opportunity_count,merge_grant_multi_candidate_opportunity_count,merge_grant_true_competition_count,merge_grant_order_mutation_count,merge_grant_contended_loser_retry_count,merge_grant_expired_count,merge_grant_stale_arbitration_count,bounded_local_pibt_applicability_count,bounded_local_pibt_activation_count,bounded_local_pibt_prepare_count,bounded_local_pibt_validate_count,bounded_local_pibt_commit_count,bounded_local_pibt_rollback_count,g4irsf20_redundant_beacon_suppressed_count,g4irsf20_same_state_beacon_suppressed_count,stale_event_count,event_count,merge_grant_precommit_order_mutation_opportunity_count,merge_grant_exact_slot_overlap_opportunity_count,merge_grant_precommit_order_mutation_count,merge_grant_precommit_order_mutation_rate,merge_grant_precommit_order_mutation_is_final_action,merge_grant_exact_slot_overlap_used_as_mutation_denominator,merge_grant_precommit_order_mutation_semantics,strict_classification,j2_m3_classification,j2_m3_precommit_order_mutation_classification,p2_classification,e2_suppressed_event_count,e2_classification,q_candidate_nonzero_count,q_decision_any_candidate_nonzero_count,q_raw_argmin_nonzero_count,q_counterfactual_any_ranking_change_count,q_counterfactual_raw_argmin_change_count,q_value_sum,q_value_max,i_candidate_nonzero_count,i_decision_any_candidate_nonzero_count,i_raw_argmin_nonzero_count,i_counterfactual_any_ranking_change_count,i_counterfactual_raw_argmin_change_count,i_value_sum,i_value_max,wc_candidate_nonzero_count,wc_decision_any_candidate_nonzero_count,wc_raw_argmin_nonzero_count,wc_counterfactual_any_ranking_change_count,wc_counterfactual_raw_argmin_change_count,wc_value_sum,wc_value_max,ws_candidate_nonzero_count,ws_decision_any_candidate_nonzero_count,ws_raw_argmin_nonzero_count,ws_counterfactual_any_ranking_change_count,ws_counterfactual_raw_argmin_change_count,ws_value_sum,ws_value_max
map2,1.00,COMPLETE,28506,28506,1.0,28506,1.0,23.300038799876347,22.625,433495,211260,433495,196311,196311,0,153592,627,475,296,0,0,9465,0,0,0,0,0,0,563287,191754,0,3997648,627,475,296,0.47208931419457734,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,755041,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,28276,28263,25121,74,74,52405.0,38.0,420804,366645,358507,879,879,2609650.0,179.0,0,0,0,0,0,0.0,0.0,124460,119412,115462,169,169,164496.00469010032,9.7983000000022
map2,1.25,COMPLETE,35659,35659,1.0,35659,1.0,29.435522299958393,28.640625,571738,277140,571738,258389,258389,0,192659,918,663,443,0,0,15159,0,0,0,0,0,0,705056,262731,0,5050967,918,663,443,0.48257080610021785,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,967787,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,43707,43660,38900,151,151,123691.0,52.0,580354,499750,489705,1490,1490,3851687.0,179.0,0,0,0,0,0,0.0,0.0,190490,182886,177222,265,265,267574.2010501428,9.799160000002303
map2,1.50,COMPLETE,42932,42932,1.0,42932,1.0,37.33767840010114,36.390625,720767,345405,720767,322595,322595,0,231976,1319,905,687,0,0,22245,0,0,0,0,0,0,847491,342332,0,6125107,1319,905,687,0.5208491281273692,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,1189823,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,62800,62669,55790,293,293,629833.0,273.0,754888,644314,632316,2271,2271,5217871.0,179.0,0,0,0,0,0,0.0,0.0,268853,258320,250332,374,374,395631.2159602232,10.44188000000213
map2,1.75,COMPLETE,49765,49765,1.0,49764,0.9999799055561137,45.810159699991345,44.21875,876769,412857,876769,386382,386382,0,268765,1828,1148,1005,0,0,30561,0,0,0,0,0,0,980101,432659,0,7148947,1828,1148,1005,0.549781181619256,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,1412760,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,89007,88528,78025,516,516,3719454.0,933.0,941410,798479,785043,3335,3335,6758577.0,178.0,0,0,0,0,0,0.0,0.0,361075,347484,337210,504,504,551807.3663903088,10.52833999998984
map2,2.00,COMPLETE,57012,57012,1.0,56875,0.9975969971234127,53.29495600005612,52.078125,1058196,494061,1058196,463573,463573,0,308837,2404,1465,1361,0,0,40688,0,0,0,0,0,0,1123143,540599,0,8276538,2404,1465,1361,0.5661397670549085,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,1663742,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,122478,121605,106052,798,798,9847823.0,1797.0,1164888,979452,964789,4630,4630,8651907.0,178.0,0,0,0,0,0,0.0,0.0,476928,458735,445311,649,649,739520.5179705366,11.692989999999554
nanning,1.00,COMPLETE,28506,28506,1.0,28395,0.9961060829299095,47.720467100152746,46.484375,999970,716602,999970,603984,467695,0,296353,34,15,11,0,0,26690,0,0,0,0,0,0,925122,633111,0,7087605,34,15,11,0.3235294117647059,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,1558233,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,194733,192308,155540,19820,19626,10399495.0,1136.0,1174727,879767,826411,62578,57674,9866541.0,62.0,0,0,0,0,0,0.0,0.0,525878,493725,470597,4688,4491,1779883.622228664,40.497400000007474
nanning,1.25,COMPLETE,35659,35659,1.0,31260,0.8766370341288314,68.74834250006825,67.109375,1432841,1049780,1432841,952815,721084,0,368663,36,12,8,0,0,43997,0,0,0,0,0,0,1165504,935843,0,9146127,36,12,8,0.2222222222222222,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,2101347,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,335862,329706,256020,45061,44287,34594324.0,2167.0,1761399,1301789,1235755,82627,73139,16115502.0,62.0,0,0,0,0,0,0.0,0.0,874208,811081,778152,7593,7199,3343300.8280089037,40.497400000007474
nanning,1.50,COMPLETE,42932,42932,1.0,27886,0.6495388055529675,115.13208200014196,111.796875,1958272,1470913,1958272,1395494,1036687,0,438191,28,5,5,0,0,65033,0,0,0,0,0,0,1398830,1312509,0,11286212,28,5,5,0.17857142857142858,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,2711339,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,553733,538639,381952,114170,112581,139350575.0,2949.0,2512360,1820698,1742302,98019,83345,24835153.0,62.0,0,0,0,0,0,0.0,0.0,1343940,1230070,1183532,10341,9602,5855719.315465656,40.98461000002135
nanning,1.75,COMPLETE,49765,49765,1.0,19124,0.38428614488094043,328.65628429991193,319.265625,2415635,1818903,2415635,1751531,1290362,0,509506,42,5,9,0,0,82259,0,0,0,0,0,0,1632868,1604280,0,13371880,42,5,9,0.21428571428571427,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,3237148,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,722538,699505,473996,168007,165326,435707801.0,3754.0,3112989,2267232,2177405,120779,101795,31847781.0,62.0,0,0,0,0,0,0.0,0.0,1713237,1574996,1507959,12893,11919,8386761.637633459,42.61532000000079
nanning,2.00,COMPLETE,57012,57012,1.0,20963,0.3676945204518347,737.0040921000764,716.375,2838046,2135354,2838046,2069666,1502461,0,584213,66,5,15,0,0,98122,0,0,0,0,0,0,1871211,1869500,0,15449370,66,5,15,0.22727272727272727,False,False,PRE_COMMIT_ORDER_MUTATION_VS_FIFO_AT_MULTI_CANDIDATE_SELECTION,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,NOT_ACTIVATED,3740711,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT,866479,835654,557143,215592,210337,793448995.0,7281.0,3651822,2677076,2573372,146153,119980,38298757.0,62.0,0,0,0,0,0,0.0,0.0,2045211,1877589,1801755,15600,13791,10383947.52205241,42.6193600000006
