record_type,window,trace_kind,round,mode,lane,time,microphase,item_count,wave_count,max_conflict_free_width,parallel_item_count,global_barrier_count,pair_wall_seconds,sum_individual_wall_seconds,overlap_factor,aggregate_event_count,aggregate_events_per_wall_second,run_wall_seconds,business_equivalent,safety_equivalent,status,median_individual_wall_seconds,individual_wall_regression_fraction,latency_guard_pass,effective_width,conflict_free_parallel_item_fraction,top_owner_share,width,group_count,wave_fraction,release_epoch_min,release_epoch_max,release_span_seconds,release_density_segments_per_second,event_trace_coverage_fraction,event_optimistic_effective_width_upper_bound,event_optimistic_parallel_item_fraction_upper_bound,decision_observed_effective_width,decision_observed_parallel_item_fraction,width_gate_pass,fraction_gate_pass
trace_window,peak_release_density,,,,,,,512,,,,,,,,,,,,,NO_GO_ON_PEAK_RELEASE_512_CANARY,,,,,,,,,,22633.0,22973.0,340.0,1.5058823529411764,0.9576260232658337,1.7179866765358993,0.6498707453683757,1.609865470852018,0.6231957457584199,False,True
trace_summary,peak_release_density,event,,,,,,44453,,8,,0,,,,,,,,,NO_GO_ON_PEAK_RELEASE_512_CANARY,,,,1.6451887490747594,0.6343778822576654,0.05749893145569478,,14710,,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,16253,,,,,,,,,,,,,,,,,,,1,,0.6015173945225759,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,6437,,,,,,,,,,,,,,,,,,,2,,0.23823094004441156,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,2698,,,,,,,,,,,,,,,,,,,3,,0.09985196150999259,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,1101,,,,,,,,,,,,,,,,,,,4,,0.04074759437453738,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,388,,,,,,,,,,,,,,,,,,,5,,0.014359733530717986,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,117,,,,,,,,,,,,,,,,,,,6,,0.004330125832716507,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,22,,,,,,,,,,,,,,,,,,,7,,0.0008142116950407105,,,,,,,,,,,
trace_width_histogram,peak_release_density,event,,,,,,,4,,,,,,,,,,,,,,,,,,,8,,0.00014803849000740192,,,,,,,,,,,
trace_microphase_summary,peak_release_density,event,,,,,1,8358,4872,8,5377,0,,,,,,,,,,,,,,,,,3561,,,,,,,,,,,,
trace_microphase_summary,peak_release_density,event,,,,,2,4947,3124,7,3001,0,,,,,,,,,,,,,,,,,2978,,,,,,,,,,,,
trace_microphase_summary,peak_release_density,event,,,,,3,9463,5833,7,5963,0,,,,,,,,,,,,,,,,,3002,,,,,,,,,,,,
