sample_id,window_name,context,window_size,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,time_slack,local_node_time_window_pressure,teacher_static_remaining_hops,teacher_second_best_gap,teacher_downstream_pressure_2hop,teacher_downstream_pressure_3hop,teacher_goal_direction_score,teacher_historical_risk
g4d_move_0034671,g4d_offset64_static512,static_fault,512,430,430:storage_in,11,47,"[13, 14]",14,8755.87885,0,5,22,0,0,-9.2,0
g4d_move_0034680,g4d_offset64_static512,static_fault,512,431,431:storage_in,11,47,"[13, 14]",14,8752.81218,0,5,22,0,0,-9.2,0
g4d_move_0034694,g4d_offset64_static512,static_fault,512,433,433:storage_in,19,47,"[18, 25]",25,8458.73236,0,9,27.2,0,0,-13.2,0
g4d_move_0034708,g4d_offset64_static512,static_fault,512,434,434:storage_in,11,47,"[13, 14]",13,8744.87859,0,5,0,0,0,11.2,1
g4d_move_0034715,g4d_offset64_static512,static_fault,512,435,435:storage_in,16,47,"[17, 21]",21,12055.96359,0,5,5.2,0,0,17.6,0
g4d_move_0034722,g4d_offset64_static512,static_fault,512,436,436:storage_in,6,47,"[8, 12]",12,7853.02685,0,6,0,0,0,10,1
g4d_move_0034739,g4d_offset64_static512,static_fault,512,438,438:storage_in,11,47,"[13, 14]",14,13542.12884,0,5,22,0,0,-9.2,0
g4d_move_0034749,g4d_offset64_static512,static_fault,512,439,439:storage_in,11,47,"[13, 14]",13,7836.69352,0,5,0,0,0,11.2,1
g4d_move_0034763,g4d_offset64_static512,static_fault,512,441,441:storage_in,16,47,"[17, 21]",21,8725.55455,0,5,5.2,0,0,17.6,0
g4d_move_0034777,g4d_offset64_static512,static_fault,512,443,443:storage_in,19,47,"[18, 25]",25,6017.44505,0,9,27.2,0,0,-13.2,0
g4d_move_0034788,g4d_offset64_static512,static_fault,512,444,444:storage_in,16,47,"[17, 21]",21,13214.78457,0,5,5.2,0,0,17.6,0
g4d_move_0034802,g4d_offset64_static512,static_fault,512,446,446:storage_in,19,47,"[18, 25]",18,6004.25039,0,5,0,0,0,2.8,1
g4d_move_0034809,g4d_offset64_static512,static_fault,512,447,447:storage_in,16,47,"[17, 21]",21,5990.76062,0,5,5.2,0,0,17.6,0
g4d_move_0034816,g4d_offset64_static512,static_fault,512,448,448:storage_in,6,47,"[8, 12]",12,8686.356,0,6,0,0,0,10,1
g4d_move_0034824,g4d_offset64_static512,static_fault,512,449,449:storage_in,19,47,"[18, 25]",18,13480.36939,0,5,0,0,0,2.8,1
g4d_move_0034847,g4d_offset64_static512,static_fault,512,452,452:storage_in,11,47,"[13, 14]",13,13155.65353,0,5,0,0,0,11.2,1
g4d_move_0034854,g4d_offset64_static512,static_fault,512,453,453:storage_in,19,47,"[18, 25]",18,11046.88157,0,5,0,0,0,2.8,1
g4d_move_0034864,g4d_offset64_static512,static_fault,512,454,454:storage_in,11,47,"[13, 14]",13,7130.13132,0,5,0,0,0,11.2,1
g4d_move_0034871,g4d_offset64_static512,static_fault,512,455,455:storage_in,16,47,"[17, 21]",21,8324.94131,0,5,5.2,0,0,17.6,0
g4d_move_0034879,g4d_offset64_static512,static_fault,512,456,456:storage_in,16,47,"[17, 21]",21,8323.4,0,5,5.2,0,0,17.6,0
g4d_move_0034895,g4d_offset64_static512,static_fault,512,458,458:storage_in,6,47,"[8, 12]",12,10703.17395,0,6,0,0,0,10,1
g4d_move_0035160,g4d_offset64_static512,static_fault,512,495,495:storage_in,19,47,"[18, 25]",18,5553.49873,0,5,0,0,0,2.8,1
g4d_move_0035169,g4d_offset64_static512,static_fault,512,496,496:storage_in,11,47,"[13, 14]",13,7342.41668,0,5,0,0,0,11.2,1
g4d_move_0035185,g4d_offset64_static512,static_fault,512,498,498:storage_in,11,47,"[13, 14]",13,7339.81218,0,5,0,0,0,11.2,1
g4d_move_0035195,g4d_offset64_static512,static_fault,512,499,499:storage_in,11,47,"[13, 14]",13,7336.96472,0,5,0,0,0,11.2,1
g4d_move_0035202,g4d_offset64_static512,static_fault,512,500,500:storage_in,19,47,"[18, 25]",25,6748.3405,0,9,27.2,0,0,-13.2,0
