scenario,status,generation_level,scale,rolling_days,time_compression,row_count,source_input,independent_rule_replay,generator_classification
high_flow_no_fault_2x,RECORDED,distribution_preserving_resample,2,1,1.0,87206,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,False,deterministic synchronized replicas with micro offsets
high_flow_no_fault_4x,RECORDED,distribution_preserving_resample,4,1,1.0,174412,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,False,deterministic synchronized replicas with micro offsets
rolling_7_day_1x_smoke,RECORDED,distribution_preserving_resample,1,7,1.0,305221,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,False,deterministic synchronized replicas with micro offsets
