scenario,context,replay_variant,segment_id,task_id,recovered_by_wait_or_repair,finish_time,path,diagnostic_ablation,hybrid_repair
legacy_first16,no_fault,wait_fixed_hold_5s,8:storage_in,8,True,10134.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first16,no_fault,jump_to_earliest_safe_time,8:storage_in,8,True,10133.082129999999,0 6 12 13 23 24 27 28 47,False,False
legacy_first16,no_fault,reroute_from_current_legacy,8:storage_in,8,True,10133.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first16,no_fault,ablation_edge_capacity_2,11:storage_in,11,True,10140.439820000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first16,no_fault,ablation_edge_capacity_2,8:storage_in,8,True,10129.506480000002,0 6 12 13 23 24 27 28 47,True,False
legacy_first16,no_fault,ablation_disable_edge_capacity,11:storage_in,11,True,10139.439820000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first16,no_fault,ablation_disable_edge_capacity,8:storage_in,8,True,10129.506480000002,0 6 12 13 23 24 27 28 47,True,False
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,8:storage_in,8,True,10133.082129999999,0 6 12 13 23 24 27 28 47,False,True
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,8:storage_in,8,True,10134.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,8:storage_in,8,True,10133.082129999999,0 6 12 13 23 24 27 28 47,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,8:storage_in,8,True,10133.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first16_buffer2,buffer_capacity,ablation_edge_capacity_2,11:storage_in,11,True,10140.439820000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first16_buffer2,buffer_capacity,ablation_edge_capacity_2,8:storage_in,8,True,10129.506480000002,0 6 12 13 23 24 27 28 47,True,False
legacy_first16_buffer2,buffer_capacity,ablation_disable_edge_capacity,11:storage_in,11,True,10139.439820000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first16_buffer2,buffer_capacity,ablation_disable_edge_capacity,8:storage_in,8,True,10129.506480000002,0 6 12 13 23 24 27 28 47,True,False
legacy_first16_buffer2,buffer_capacity,hybrid_legacy_wait_sipp_fallback,8:storage_in,8,True,10133.082129999999,0 6 12 13 23 24 27 28 47,False,True
legacy_first32,no_fault,wait_fixed_hold_5s,18:storage_in,18,True,10739.506470000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first32,no_fault,wait_fixed_hold_5s,19:storage_in,19,True,10751.811150000001,1 7 8 11 13 23 24 27 28 47,False,False
legacy_first32,no_fault,wait_fixed_hold_5s,27:storage_in,27,True,11321.112029999998,5 19 18 22 24 27 28 47,False,False
legacy_first32,no_fault,wait_fixed_hold_5s,30:storage_in,30,True,11351.467460000002,5 19 25 26 43 15 14 46 36 38 39 47,False,False
legacy_first32,no_fault,wait_fixed_hold_5s,8:storage_in,8,True,10134.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first32,no_fault,jump_to_earliest_safe_time,17:storage_in,17,True,10743.978849999998,2 9 7 8 11 13 23 24 27 28 47,False,False
legacy_first32,no_fault,jump_to_earliest_safe_time,18:storage_in,18,True,10733.178849999998,0 6 12 13 23 24 27 28 47,False,False
legacy_first32,no_fault,jump_to_earliest_safe_time,19:storage_in,19,True,10754.778849999997,1 7 8 11 13 23 24 27 28 47,False,False
legacy_first32,no_fault,jump_to_earliest_safe_time,8:storage_in,8,True,10133.082129999999,0 6 12 13 23 24 27 28 47,False,False
legacy_first32,no_fault,reroute_from_current_legacy,17:storage_in,17,True,10741.077820000002,2 9 7 8 11 13 23 24 27 28 47,False,False
legacy_first32,no_fault,reroute_from_current_legacy,19:storage_in,19,True,10768.811149999998,1 7 8 11 14 46 36 38 39 47,False,False
legacy_first32,no_fault,reroute_from_current_legacy,27:storage_in,27,True,11316.112029999998,5 19 18 22 24 27 28 47,False,False
legacy_first32,no_fault,reroute_from_current_legacy,31:storage_in,31,True,11327.144480000003,1 7 8 11 13 23 24 27 28 47,False,False
legacy_first32,no_fault,reroute_from_current_legacy,8:storage_in,8,True,10133.506480000002,0 6 12 13 23 24 27 28 47,False,False
legacy_first32,no_fault,ablation_edge_capacity_2,11:storage_in,11,True,10140.439820000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,15:storage_in,15,True,10724.8454,3 16 17 18 22 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,17:storage_in,17,True,10736.077820000002,2 9 7 8 11 13 23 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,19:storage_in,19,True,10741.811150000001,1 7 8 11 13 23 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,25:storage_in,25,True,11314.21636,4 17 18 22 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,27:storage_in,27,True,11316.112029999998,5 19 18 22 24 27 28 47,True,False
legacy_first32,no_fault,ablation_edge_capacity_2,31:storage_in,31,True,11327.144480000003,1 7 8 11 13 23 24 27 28 47,True,False
