scenario,context,replay_variant,variant_mode,diagnostic_ablation,hybrid_repair,max_tasks,planned_count,unplanned_count,decision_count,legacy_route_next_labels,move_now_legacy_labels,hold_until_safe_labels,reroute_now_legacy_labels,legacy_no_path_labels,temporarily_blocked_labels,globally_unsafe_labels,fallback_safe_labels,sipp_repair_labels,abstain_labels,primary_g4a_label_count,primary_g4a_label_coverage,branch_decision_count,branch_effective_label_coverage,mean_wait_inserted,max_wait_inserted,mean_travel_time,p95_travel_time,p99_travel_time,late_count,max_lateness,makespan,node_reservation_conflicts,edge_reservation_conflicts,merge_group_conflicts,post_shield_conflicts,real_constraint_conflicts,label_taxonomy_distribution,block_reason_distribution
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,False,16,14,2,168,168,117,0,0,0,47,2,0,0,2,117,0.6964285714285714,82,0.6463414634146342,1.0,1.0,50.17142857142816,57.349999999999994,57.87,0,0.0,10733.8454,0,0,0,0,0,ABSTAIN_NO_TEACHER:2;LEGACY_NEXT_GLOBALLY_UNSAFE:2;LEGACY_NEXT_TEMPORARILY_BLOCKED:47;MOVE_NOW_LEGACY:117,edge_capacity:51
legacy_first16,no_fault,wait_fixed_hold_1s,fixed_hold,False,False,16,14,2,168,168,117,49,0,0,0,0,0,0,2,166,0.9880952380952381,82,0.975609756097561,1.0,1.0,50.17142857142816,57.349999999999994,57.87,0,0.0,10733.8454,0,0,0,0,0,ABSTAIN_NO_TEACHER:2;HOLD_UNTIL_SAFE_LEGACY_NEXT:49;MOVE_NOW_LEGACY:117,edge_capacity:51
legacy_first16,no_fault,wait_fixed_hold_2s,fixed_hold,False,False,16,14,2,145,145,117,26,0,0,0,0,0,0,2,143,0.9862068965517241,68,0.9705882352941176,2.0,2.0,50.3142857142853,58.08999999999905,58.81799999999981,0,0.0,10734.8454,0,0,0,0,0,ABSTAIN_NO_TEACHER:2;HOLD_UNTIL_SAFE_LEGACY_NEXT:26;MOVE_NOW_LEGACY:117,edge_capacity:28
legacy_first16,no_fault,wait_fixed_hold_5s,fixed_hold,False,False,16,15,1,137,134,118,16,0,3,0,0,0,0,0,134,0.9781021897810219,63,1.0,5.0,5.0,52.586666666666375,64.15999999999931,69.31199999999869,0,0.0,10734.8454,0,0,0,0,0,HOLD_UNTIL_SAFE_LEGACY_NEXT:16;LEGACY_NO_PATH:3;MOVE_NOW_LEGACY:118,edge_capacity:16;legacy_astar_no_path:3
legacy_first16,no_fault,jump_to_earliest_safe_time,jump,False,False,16,15,1,125,118,97,21,0,7,0,0,0,0,0,118,0.944,55,1.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,HOLD_UNTIL_SAFE_LEGACY_NEXT:21;LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,reroute_from_current_legacy,reroute,False,False,16,15,1,171,171,135,0,4,0,30,1,0,0,1,139,0.8128654970760234,72,0.875,1.0,1.0,57.71999999999971,81.13999999999888,82.14799999999948,0,0.0,10753.88828,0,0,0,0,0,ABSTAIN_NO_TEACHER:1;LEGACY_NEXT_GLOBALLY_UNSAFE:1;LEGACY_NEXT_TEMPORARILY_BLOCKED:30;MOVE_NOW_LEGACY:135;REROUTE_NOW_LEGACY:4,edge_capacity:36
legacy_first16,no_fault,ablation_edge_capacity_2,baseline,True,False,16,15,1,121,121,119,0,0,0,1,0,0,0,1,119,0.9834710743801653,57,0.9649122807017544,1.0,1.0,47.226666666666524,49.60000000000055,50.72000000000156,0,0.0,10724.8454,0,0,0,0,18,ABSTAIN_NO_TEACHER:1;LEGACY_NEXT_TEMPORARILY_BLOCKED:1;MOVE_NOW_LEGACY:119,edge_capacity:2
legacy_first16,no_fault,ablation_disable_edge_capacity,baseline,True,False,16,16,0,121,121,121,0,0,0,0,0,0,0,0,121,1.0,57,1.0,0.0,0.0,47.11249999999984,49.250000000000455,49.85000000000154,0,0.0,10724.8454,0,0,0,0,28,MOVE_NOW_LEGACY:121,none
legacy_first16,no_fault,ablation_disable_merge_group,baseline,True,False,16,14,2,168,168,117,0,0,0,47,2,0,0,2,117,0.6964285714285714,82,0.6463414634146342,1.0,1.0,50.17142857142816,57.349999999999994,57.87,0,0.0,10733.8454,0,0,0,0,0,ABSTAIN_NO_TEACHER:2;LEGACY_NEXT_GLOBALLY_UNSAFE:2;LEGACY_NEXT_TEMPORARILY_BLOCKED:47;MOVE_NOW_LEGACY:117,edge_capacity:51
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,hybrid,False,True,16,15,1,125,118,97,21,0,7,0,0,0,0,0,118,0.944,55,1.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,HOLD_UNTIL_SAFE_LEGACY_NEXT:21;LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97,edge_capacity:21;legacy_astar_no_path:7
