method,count,min,mean,median,p95,p99,max
historical_DH,28506,213.3,265.5921314811003,258.7,336.9,384.5950000000001,517.2
historical_HCA,28506,188.0,238.0273626604925,232.0,302.0,331.0,359.0
V5_DH,28506,206.39999999999418,288.8264716200128,249.40000000000146,620.0,753.2000000000007,819.0
G31,28506,188.0009999999893,210.45105777732445,201.40099999999438,247.20199999999022,253.8020000000168,288.80199999999604
