route_key,java_count,cpp_count,match
0|3|47|8267.000000|3;16;17;18;22;24;27;28;47,1,1,True
10|5|47|10087.000000|5;19;18;22;24;27;28;47,1,1,True
11|1|47|10089.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
12|0|47|10645.000000|0;6;12;13;23;24;27;28;47,1,1,True
13|4|47|10665.000000|4;17;18;22;24;27;28;47,1,1,True
14|5|47|10673.000000|5;19;18;22;24;27;28;47,1,1,True
15|3|47|10675.000000|3;16;17;18;22;24;27;28;47,1,1,True
16|3|47|10681.000000|3;16;17;18;22;24;27;28;47,1,1,True
17|2|47|10681.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
18|0|47|10686.000000|0;6;12;13;23;24;27;28;47,1,1,True
19|1|47|10686.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
1|4|47|8867.000000|4;17;18;22;24;27;28;47,1,1,True
20|3|47|10688.000000|3;16;21;23;24;27;28;47,1,1,True
21|2|47|10689.000000|2;9;7;8;11;14;46;36;38;39;47,1,1,True
22|4|47|10812.000000|4;17;18;22;24;27;28;47,1,1,True
23|5|47|11251.000000|5;19;18;22;24;27;28;47,1,1,True
24|3|47|11254.000000|3;16;17;18;22;24;27;28;47,1,1,True
25|4|47|11267.000000|4;17;18;22;24;27;28;47,1,1,True
26|4|47|11269.000000|4;17;18;22;24;27;28;47,1,1,True
27|5|47|11270.000000|5;19;25;26;43;15;14;46;36;38;39;47,1,1,True
28|3|47|11273.000000|3;16;17;18;22;24;27;28;47,1,1,True
29|0|47|11273.000000|0;6;12;13;23;24;27;28;47,1,1,True
2|5|47|8875.000000|5;19;18;22;24;27;28;47,1,1,True
30|5|47|11274.000000|5;19;18;22;24;27;28;47,1,1,True
31|1|47|11276.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
32|2|47|11278.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
33|0|47|11282.000000|0;6;12;13;23;24;27;28;47,1,1,True
34|3|47|11282.000000|3;16;21;23;24;27;28;47,1,1,True
35|4|47|11285.000000|4;17;18;22;26;43;15;14;46;36;38;39;47,1,1,True
36|1|47|11286.000000|1;7;8;11;14;46;36;38;39;47,1,1,True
37|5|47|11288.000000|5;19;18;22;24;27;28;47,1,1,True
38|2|47|11289.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
39|3|47|11290.000000|3;16;17;18;22;24;27;28;47,1,1,True
3|3|47|8880.000000|3;16;17;18;22;24;27;28;47,1,1,True
40|0|47|11292.000000|0;6;12;13;23;24;27;28;47,1,1,True
41|1|47|11845.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
42|4|47|11854.000000|4;17;18;22;24;27;28;47,1,1,True
43|5|47|11865.000000|5;19;18;22;24;27;28;47,1,1,True
44|3|47|11867.000000|3;16;17;18;22;24;27;28;47,1,1,True
45|1|47|11870.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
46|4|47|11875.000000|4;17;18;22;24;27;28;47,1,1,True
47|2|47|11878.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
48|4|47|11880.000000|4;17;18;22;24;27;28;47,1,1,True
49|0|47|11882.000000|0;6;12;13;23;24;27;28;47,1,1,True
4|3|47|9462.000000|3;16;17;18;22;24;27;28;47,1,1,True
50|1|47|11883.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
51|5|47|11885.000000|5;19;25;26;43;15;14;46;36;38;39;47,1,1,True
52|2|47|11886.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
53|3|47|11887.000000|3;16;17;18;22;24;27;28;47,1,1,True
54|0|47|11889.000000|0;6;12;13;23;24;27;28;47,1,1,True
55|0|47|11906.000000|0;6;12;13;23;24;27;28;47,1,1,True
56|4|47|12018.000000|4;17;18;22;24;27;28;47,1,1,True
57|5|47|12449.000000|5;19;18;22;24;27;28;47,1,1,True
58|3|47|12459.000000|3;16;17;18;22;24;27;28;47,1,1,True
59|1|47|12462.000000|1;7;8;11;13;23;24;27;28;47,1,1,True
5|4|47|9470.000000|4;17;18;22;24;27;28;47,1,1,True
60|4|47|12467.000000|4;17;18;22;24;27;28;47,1,1,True
61|5|47|12469.000000|5;19;18;22;24;27;28;47,1,1,True
63|2|47|12470.000000|2;9;7;8;11;13;23;24;27;28;47,1,1,True
6|5|47|10062.000000|5;19;18;22;24;27;28;47,1,1,True
7|3|47|10073.000000|3;16;17;18;22;24;27;28;47,1,1,True
8|0|47|10084.000000|0;6;12;13;23;24;27;28;47,1,1,True
9|4|47|10085.000000|4;17;18;22;24;27;28;47,1,1,True
