sample_id,source_failure_sample_id,state_kind,scenario,context,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,predicted_next_node_from_g4b,original_teacher_next_node,current_time,task_entry_time,deadline_or_std,time_slack,candidate_shortest_time_to_goal,candidate_travel_time,candidate_service_time,candidate_node_type,candidate_fault_status,local_node_time_window_pressure,local_queue_or_occupancy_summary,source_retry_age_seconds,label_type,relabel_status,relabel_route_path,teacher_query_scope,split,edge_capacity_primary
g4c_relabel_teacher_state_000000,g4a_move_000399,teacher_state_failure_relabel,legacy_first32,no_fault,20,20:storage_in,16,47,"[17, 21]",17,17,21,10690.70327,10688.10327,24600,13909.29673,"{""17"": 36.8, ""21"": 22.8}","{""17"": 3.6, ""21"": 22.8}","{""17"": 1.0, ""21"": 1.0}","{""17"": 5, ""21"": 5}","{""17"": false, ""21"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[16, 17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000000,g4a_move_000399,learner_visited_after_wrong_next,legacy_first32,no_fault,20,20:storage_in,17,47,[18],18,17,21,10695.30327,10688.10327,24600,13904.69673,"{""18"": 35.2}","{""18"": 1.6}","{""18"": 1.0}","{""18"": 5}","{""18"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000001,g4a_move_000409,teacher_state_failure_relabel,legacy_first32,no_fault,21,21:storage_in,11,47,"[13, 14]",13,13,14,10704.63977,10689.43977,24600,13895.36023,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000001,g4a_move_000409,learner_visited_after_wrong_next,legacy_first32,no_fault,21,21:storage_in,13,47,[23],23,13,14,10716.83977,10689.43977,24600,13883.16023,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000002,g4a_move_000534,teacher_state_failure_relabel,legacy_offset32_static16,static_fault,36,36:storage_in,11,47,"[13, 14]",13,13,14,11299.18781,11286.58781,23400,12100.81219,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000002,g4a_move_000534,learner_visited_after_wrong_next,legacy_offset32_static16,static_fault,36,36:storage_in,13,47,[23],23,13,14,11311.38781,11286.58781,23400,12088.61219,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000003,g4a_move_000605,teacher_state_failure_relabel,legacy_offset32_static16,static_fault,45,45:storage_in,11,47,"[13, 14]",13,13,14,11883.41115,11870.81115,24900,13016.58885,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000003,g4a_move_000605,learner_visited_after_wrong_next,legacy_offset32_static16,static_fault,45,45:storage_in,13,47,[23],23,13,14,11895.61115,11870.81115,24900,13004.38885,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000004,g4a_move_000725,teacher_state_failure_relabel,legacy_offset64_merge32,merge_window,75,75:storage_in,16,47,"[17, 21]",17,17,21,12493.37417,12490.77417,23400,10906.62583,"{""17"": 36.8, ""21"": 22.8}","{""17"": 3.6, ""21"": 22.8}","{""17"": 1.0, ""21"": 1.0}","{""17"": 5, ""21"": 5}","{""17"": false, ""21"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[16, 17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000004,g4a_move_000725,learner_visited_after_wrong_next,legacy_offset64_merge32,merge_window,75,75:storage_in,17,47,[18],18,17,21,12497.97417,12490.77417,23400,10902.02583,"{""18"": 35.2}","{""18"": 1.6}","{""18"": 1.0}","{""18"": 5}","{""18"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
