window_name,policy,scope_total,planned_count,edge_overlap_diagnostic_only,counted_as_primary_conflict,notes
g4d_first1024_no_fault,model_plus_pibt_lite,1024,1024,12208,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_first144_no_fault,model_plus_pibt_lite,144,144,1140,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_first256_no_fault,model_plus_pibt_lite,256,256,2121,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_first512_no_fault,model_plus_pibt_lite,512,512,4686,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_offset2048_1024_high_density,model_plus_pibt_lite,977,977,26217,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_offset512_512_high_density,model_plus_pibt_lite,512,512,7357,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_offset64_repair512,model_plus_pibt_lite,512,512,5567,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4d_offset64_static512,model_plus_pibt_lite,512,512,4932,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset0_no_fault,model_plus_pibt_lite,1024,1024,23997,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset1024_no_fault,model_plus_pibt_lite,1024,1024,22274,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset2048_no_fault,model_plus_pibt_lite,1024,1024,25391,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset3072_no_fault,model_plus_pibt_lite,1024,1024,22482,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset4096_no_fault,model_plus_pibt_lite,1024,1024,25961,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_1024_offset8192_no_fault,model_plus_pibt_lite,1024,1024,26675,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_12000_offset0_no_fault_smoke,model_plus_pibt_lite,12000,12000,766929,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_2048_offset0_no_fault,model_plus_pibt_lite,2048,2048,67905,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_2048_offset2048_no_fault,model_plus_pibt_lite,2048,2048,64714,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_2048_offset4096_no_fault,model_plus_pibt_lite,2048,2048,64195,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_4096_offset0_no_fault,model_plus_pibt_lite,4096,4096,196451,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_4096_offset4096_no_fault,model_plus_pibt_lite,4096,4096,150955,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset0_no_fault,model_plus_pibt_lite,512,512,7924,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset1024_no_fault,model_plus_pibt_lite,512,512,8562,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset1536_no_fault,model_plus_pibt_lite,512,512,8838,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset2048_no_fault,model_plus_pibt_lite,512,512,8895,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset3072_no_fault,model_plus_pibt_lite,512,512,8390,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset4096_no_fault,model_plus_pibt_lite,512,512,10987,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset512_no_fault,model_plus_pibt_lite,512,512,8378,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_512_offset8192_no_fault,model_plus_pibt_lite,512,512,11274,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
g4i_8192_offset0_no_fault,model_plus_pibt_lite,8192,8192,467262,False,Conveyor-edge overlap remains diagnostic only; node windows are the primary safety constraint.
