scenario,family,seed,task_count,node_count,edge_count,spacing,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_active_steps,cpp_active_steps,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_holds,cpp_holds,python_conflicts,cpp_conflicts,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,python_makespan,cpp_makespan,makespan_abs_diff,python_elapsed_seconds,cpp_elapsed_seconds,cpp_speedup,parity_pass,first_mismatch_field,python_value,cpp_value,notes,layers,source_mode,goal_mode,branch_probability,shortcut_probability,source_histogram,goal_histogram
random_topo_seed227_burst_repair,rolling_horizon_sipp,227,42,18,42,0.5,none,"3->15@[4.000,18.000)",3:2;11:2;13:2,5->11:111;9->11:111;10->11:111,1,0.0,42,42,0,0,42,42,0,0,0,0,0,0,0,0,19.96455728943612,19.964557289436115,3.552713678800501e-15,33.106568295725005,33.106568295725005,0.0,0.020547399995848536,0.04447169997729361,0.4620331583083094,True,none,,,random DAG-like synthetic topology; layers=3-5-3-5-2; source_mode=burst; goal_mode=alternating; sources=0:18;1:12;2:12; goals=16:21;17:21,3-5-3-5-2,burst,alternating,0.42,0.1,0:18;1:12;2:12,16:21;17:21
random_topo_seed227_burst_repair,periodic_replanning_sipp,227,42,18,42,0.5,none,"3->15@[4.000,18.000)",3:2;11:2;13:2,5->11:111;9->11:111;10->11:111,1,0.0,42,42,0,0,156,156,21,21,42,42,0,0,0,0,26.831854954356814,26.831854954356817,3.552713678800501e-15,48.345139070738995,48.345139070738995,0.0,0.022273199982009828,0.06124399998225272,0.3636797072115498,True,none,,,random DAG-like synthetic topology; layers=3-5-3-5-2; source_mode=burst; goal_mode=alternating; sources=0:18;1:12;2:12; goals=16:21;17:21,3-5-3-5-2,burst,alternating,0.42,0.1,0:18;1:12;2:12,16:21;17:21
random_topo_seed227_burst_repair,pibt_active_bag_replay,227,42,18,42,0.5,none,"3->15@[4.000,18.000)",3:2;11:2;13:2,5->11:111;9->11:111;10->11:111,1,0.0,42,42,0,0,168,168,49,49,11,11,17,17,0,0,54.021373655624785,54.02137365562479,7.105427357601002e-15,98.739128767668,98.739128767668,0.0,0.01624859997536987,0.023678300087340176,0.6862232472531816,True,none,,,random DAG-like synthetic topology; layers=3-5-3-5-2; source_mode=burst; goal_mode=alternating; sources=0:18;1:12;2:12; goals=16:21;17:21,3-5-3-5-2,burst,alternating,0.42,0.1,0:18;1:12;2:12,16:21;17:21
random_topo_seed227_burst_repair,edge_score_event,227,42,18,42,0.5,none,"3->15@[4.000,18.000)",3:2;11:2;13:2,5->11:111;9->11:111;10->11:111,1,0.0,15,15,27,27,136,136,0,0,0,0,0,0,0,0,15.897807462265384,15.897807462265382,1.7763568394002505e-15,25.012399486457177,25.012399486457177,0.0,0.05322420003358275,0.019859099993482232,2.6800912453762233,True,none,,,random DAG-like synthetic topology; layers=3-5-3-5-2; source_mode=burst; goal_mode=alternating; sources=0:18;1:12;2:12; goals=16:21;17:21,3-5-3-5-2,burst,alternating,0.42,0.1,0:18;1:12;2:12,16:21;17:21
random_topo_seed227_burst_repair,fallback_event,227,42,18,42,0.5,none,"3->15@[4.000,18.000)",3:2;11:2;13:2,5->11:111;9->11:111;10->11:111,1,0.0,15,15,27,27,135,135,0,0,0,0,0,0,0,0,16.036052288017622,16.036052288017622,0.0,25.012399486457177,25.012399486457177,0.0,0.018270500004291534,0.014622599934227765,1.2494700044090634,True,none,,,random DAG-like synthetic topology; layers=3-5-3-5-2; source_mode=burst; goal_mode=alternating; sources=0:18;1:12;2:12; goals=16:21;17:21,3-5-3-5-2,burst,alternating,0.42,0.1,0:18;1:12;2:12,16:21;17:21
random_topo_seed229_static_alt,rolling_horizon_sipp,229,44,19,44,0.48,10->12,none,none,4->9:109;5->9:109;7->9:109;8->18:118;12->18:118;13->18:118;15->18:118,1,0.0,44,44,0,0,44,44,0,0,0,0,0,0,0,0,27.35824440918737,27.358244409187368,3.552713678800501e-15,85.22146841976434,85.22146841976434,0.0,0.0165864999871701,0.030903700040653348,0.536715667229193,True,none,,,random DAG-like synthetic topology; layers=4-4-4-4-3; source_mode=alternating; goal_mode=uniform; sources=1:22;3:22; goals=16:18;17:17;18:9,4-4-4-4-3,alternating,uniform,0.38,0.16,1:22;3:22,16:18;17:17;18:9
random_topo_seed229_static_alt,periodic_replanning_sipp,229,44,19,44,0.48,10->12,none,none,4->9:109;5->9:109;7->9:109;8->18:118;12->18:118;13->18:118;15->18:118,1,0.0,44,44,0,0,162,162,31,31,38,38,0,0,0,0,32.878171947052415,32.878171947052415,0.0,90.04850506897797,90.04850506897797,0.0,0.026378300040960312,0.05019229999743402,0.5255447557156945,True,none,,,random DAG-like synthetic topology; layers=4-4-4-4-3; source_mode=alternating; goal_mode=uniform; sources=1:22;3:22; goals=16:18;17:17;18:9,4-4-4-4-3,alternating,uniform,0.38,0.16,1:22;3:22,16:18;17:17;18:9
random_topo_seed229_static_alt,pibt_active_bag_replay,229,44,19,44,0.48,10->12,none,none,4->9:109;5->9:109;7->9:109;8->18:118;12->18:118;13->18:118;15->18:118,1,0.0,44,44,0,0,311,311,63,63,12,12,146,146,0,0,52.00558552439689,52.0055855243969,7.105427357601002e-15,128.366835042939,128.366835042939,0.0,0.028506499947980046,0.041872499976307154,0.6807928823000768,True,none,,,random DAG-like synthetic topology; layers=4-4-4-4-3; source_mode=alternating; goal_mode=uniform; sources=1:22;3:22; goals=16:18;17:17;18:9,4-4-4-4-3,alternating,uniform,0.38,0.16,1:22;3:22,16:18;17:17;18:9
random_topo_seed229_static_alt,edge_score_event,229,44,19,44,0.48,10->12,none,none,4->9:109;5->9:109;7->9:109;8->18:118;12->18:118;13->18:118;15->18:118,1,0.0,23,23,21,21,190,190,0,0,0,0,0,0,0,0,16.121723215616925,16.121723215616925,0.0,44.71990360529814,44.71990360529814,0.0,0.06489879998844117,0.02618269994854927,2.4786901318798895,True,none,,,random DAG-like synthetic topology; layers=4-4-4-4-3; source_mode=alternating; goal_mode=uniform; sources=1:22;3:22; goals=16:18;17:17;18:9,4-4-4-4-3,alternating,uniform,0.38,0.16,1:22;3:22,16:18;17:17;18:9
random_topo_seed229_static_alt,fallback_event,229,44,19,44,0.48,10->12,none,none,4->9:109;5->9:109;7->9:109;8->18:118;12->18:118;13->18:118;15->18:118,1,0.0,21,21,23,23,191,191,0,0,0,0,0,0,0,0,16.876666434728605,16.876666434728605,0.0,44.71990360529814,44.71990360529814,0.0,0.0228610000340268,0.020102799986489117,1.1372047699520187,True,none,,,random DAG-like synthetic topology; layers=4-4-4-4-3; source_mode=alternating; goal_mode=uniform; sources=1:22;3:22; goals=16:18;17:17;18:9,4-4-4-4-3,alternating,uniform,0.38,0.16,1:22;3:22,16:18;17:17;18:9
