speed_mps,paper_min_tth_minutes,paper_mean_tth_minutes,paper_max_tth_minutes,original_project_min_tth_minutes,original_project_mean_tth_minutes,original_project_max_tth_minutes,original_project_source,noastar_min_tth_minutes,noastar_mean_tth_minutes,noastar_max_tth_minutes,noastar_delta_vs_paper_mean_minutes,noastar_delta_vs_original_mean_minutes,same_input,same_metric,same_runtime_family,claim_allowed,notes
1.5,5.1,6.44,9.68,5.1,6.43667006,9.68333333,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\1.5 0.txt,5.08888889,6.20058693,11.02778004,-0.23941307,-0.23608313,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
2,3.87,4.93,7.37,3.86666667,4.93678933,7.36666667,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.0 0.txt,3.86666667,4.81150548,8.83537835,-0.11849452,-0.12528385,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
2.5,3.13,3.96,5.98,3.13333333,3.96712271,5.98333333,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,3.13333333,3.97610989,7.79666907,0.01610989,0.00898718,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
3,2.63,3.37,5.05,2.63333333,3.37295306,5.05,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据\T2\仿真结果数据整理3.0.xlsx,2.63888889,3.41830918,7.13889147,0.04830918,0.04535612,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
