scenario,context,segment_id,task_id,current,legacy_next,bottleneck_edge,original_g3f_label,original_terminal_reason,release_time_from_blocker,wait_needed_if_nonoccupying,cie_teacher_planned,cie_teacher_path,cie_preserves_bottleneck_edge,cie_upstream_wait_node,cie_upstream_wait_until,candidate_label,recovery_class,label_source,teacher_role,unique_scenario_segment_credit,g4a_primary_candidate,why_not_primary_yet
legacy_offset64_repair32,repair_window,94:storage_in,94,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity,13090.1,6.259140000000116,True,5 19 18 22 24 27 28 47,True,19,13090.1,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_repair32,repair_window,81:storage_in,81,27,28,27->28,LEGACY_NEXT_GLOBALLY_UNSAFE,,13101.5,9.217850000000908,True,5 19 18 22 24 27 28 47,True,24,13101.5,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_repair32,repair_window,81:storage_in,81,27,28,27->28,ABSTAIN_NO_TEACHER,edge_capacity,13101.5,8.217850000000908,True,5 19 18 22 24 27 28 47,True,24,13101.5,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,False,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_repair32,repair_window,91:storage_in,91,27,28,27->28,ABSTAIN_NO_TEACHER,edge_capacity,13123.1,9.617850000002363,True,4 17 18 22 24 27 28 47,True,24,13123.1,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,68:storage_in,68,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,12492.8,6.29681999999957,True,5 19 18 22 24 27 28 47,True,19,12492.8,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,73:storage_in,73,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,12501.2,6.827010000000882,True,5 19 18 22 24 27 28 47,True,19,12501.2,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,74:storage_in,74,27,28,27->28,ABSTAIN_NO_TEACHER,edge_capacity,12529.4,1.9602299999987736,True,1 7 8 11 13 23 24 27 28 47,True,24,12529.4,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,82:storage_in,82,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,13073.3,7.04055999999764,True,4 17 18 22 24 27 28 47,True,17,13073.3,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,84:storage_in,84,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,13073.3,5.4405599999972765,False,,False,,13073.3,CIE_ABSTAIN_NO_PATH,cie_no_path_still_blocked,original_cie_legacy_astar_with_runtime_backpressure_wrapper,cie_abstain,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
legacy_offset64_merge32,merge_group,87:storage_in,87,18,22,18->22,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,13081.7,6.721309999998994,True,3 16 17 18 22 24 27 28 47,True,17,13081.7,CIE_WAIT_UPSTREAM_EDGE_RELEASE,cie_preserve_edge_upstream_wait,original_cie_legacy_astar_with_runtime_backpressure_wrapper,primary_cie_teacher,True,False,needs_closed_loop_backpressure_replay_under_hard_shield
