case,policy,fault_edges,max_tasks,planned_count,unplanned_count,mean_travel_time,p95_travel_time,post_shield_conflicts,shield_blocks,unsafe_proposals,steps,truncated,elapsed_seconds
density_train_first8,astar_guided,none,8,8,0,49.749999999999545,55.38999999999987,0,0,0,78,False,0.02463779999379767
density_train_first8,dagger_bc,none,8,8,0,49.749999999999545,55.38999999999987,0,0,0,78,False,0.013624500003061257
density_train_first8,rolling_horizon_sipp,none,8,8,0,50.45650937499977,59.67359814999992,0,0,0,8,False,0.005458600004203618
density_heldout_next8,astar_guided,none,8,7,1,51.97142857142847,61.919999999998986,0,0,0,101,False,0.02978370000346331
density_heldout_next8,dagger_bc,none,8,7,1,51.97142857142847,61.919999999998986,0,0,0,101,False,0.016962000001512934
density_heldout_next8,rolling_horizon_sipp,none,8,8,0,57.76552874999834,74.01112949999788,0,0,0,8,False,0.004197299997031223
density_combined_first16,astar_guided,none,16,15,1,51.586666666666375,61.85999999999931,0,0,0,192,False,0.06487950000155251
density_combined_first16,dagger_bc,none,16,15,1,51.586666666666375,61.85999999999931,0,0,0,192,False,0.041700400004629046
density_combined_first16,rolling_horizon_sipp,none,16,16,0,52.74050093749918,70.27909999999656,0,0,0,16,False,0.008297699998365715
fault_alt_route_first8,astar_guided,16->17,8,8,0,51.849999999999,56.91999999999916,0,0,0,74,False,0.02447099999699276
fault_alt_route_first8,dagger_bc,16->17,8,4,4,46.99999999999909,49.11999999999871,0,0,0,544,False,0.09739410000474891
fault_alt_route_first8,rolling_horizon_sipp,16->17,8,8,0,53.60650937499895,63.87359814999881,0,0,0,8,False,0.002707700004975777
fault_goal_exit_first8,astar_guided,28->47,8,0,8,0.0,0.0,0,0,0,1024,False,0.2847810000021127
fault_goal_exit_first8,dagger_bc,28->47,8,0,8,0.0,0.0,0,0,0,1024,False,0.2035902999996324
fault_goal_exit_first8,rolling_horizon_sipp,28->47,8,8,0,84.24265462499966,96.70257579999881,0,0,0,8,False,0.005270699999528006
