variant_id,alpha_scale,beta_over_alpha,alpha_move_seconds,beta_stop_seconds,raw_bag_population,completed_raw_bags,segment_population,completed_segments,partial_reconstruction_table53_min_seconds,partial_reconstruction_table53_mean_seconds,partial_reconstruction_table53_p95_seconds,partial_reconstruction_table53_p99_seconds,partial_reconstruction_table53_max_seconds,historical_workbook_exact_dh_mean_seconds,historical_workbook_exact_dh_max_seconds,paper_printed_dh_mean_minutes,paper_printed_dh_max_minutes,wall_seconds,full_population,post_result_selected,mean_delta_vs_historical_workbook_exact_dh_seconds
alpha_0p5__beta_ratio_1p5,0.5,1.5,0.2,0.3,28506,28506,43603,43603,206.4,240.980551463,290.8,307.4,338.0,265.592131481,517.2,4.43,8.62,34.72418490005657,True,False,-24.611580018000012
alpha_0p5__beta_ratio_2,0.5,2.0,0.2,0.4,28506,28506,43603,43603,206.4,240.627832737,290.2,306.4,335.2,265.592131481,517.2,4.43,8.62,34.60703590000048,True,False,-24.96429874400002
alpha_0p5__beta_ratio_3,0.5,3.0,0.2,0.6,28506,28506,43603,43603,206.4,239.934063004,288.6,303.99,333.8,265.592131481,517.2,4.43,8.62,36.49386060005054,True,False,-25.65806847700003
alpha_1__beta_ratio_1p5,1.0,1.5,0.4,0.6,28506,28506,43603,43603,206.4,238.882515962,286.0,301.39,326.6,265.592131481,517.2,4.43,8.62,35.85951059986837,True,False,-26.70961551900001
alpha_1__beta_ratio_2,1.0,2.0,0.4,0.8,28506,28506,43603,43603,206.4,238.702287238,285.2,300.8,326.0,265.592131481,517.2,4.43,8.62,34.95646600006148,True,False,-26.889844243000027
alpha_1__beta_ratio_3,1.0,3.0,0.4,1.2,28506,28506,43603,43603,206.4,238.393769733,284.6,299.4,325.2,265.592131481,517.2,4.43,8.62,35.44888629997149,True,False,-27.198361748000025
alpha_2__beta_ratio_1p5,2.0,1.5,0.8,1.2,28506,28506,43603,43603,206.4,238.141549148,283.55,298.8,322.4,265.592131481,517.2,4.43,8.62,35.59142130007967,True,False,-27.45058233300003
alpha_2__beta_ratio_2,2.0,2.0,0.8,1.6,28506,28506,43603,43603,206.4,237.943675016,282.6,297.2,319.0,265.592131481,517.2,4.43,8.62,36.096498699858785,True,False,-27.648456465000038
alpha_2__beta_ratio_3,2.0,3.0,0.8,2.4,28506,28506,43603,43603,206.4,237.548438925,281.6,294.8,320.8,265.592131481,517.2,4.43,8.62,34.375789399957284,True,False,-28.043692556000025
