policy,scope_or_window,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_local_search_calls,runtime_full_cie_astar_calls,runtime_full_cie_astar_default,edge_capacity_primary
model_only_no_astar,g4d_teacher_planned_scope,34477,34477,0,0,0,False,False
pibt_lite_only,g4d_teacher_planned_scope,0,0,98518,0,0,False,False
static_distance_only,g4d_teacher_planned_scope,0,0,97991,0,0,False,False
node_window_aware_only,g4d_teacher_planned_scope,0,0,98484,0,0,False,False
model_plus_static_distance_fallback,g4d_teacher_planned_scope,35262,28623,6639,0,0,False,False
model_plus_node_window_fallback,g4d_teacher_planned_scope,35242,28623,6619,0,0,False,False
model_plus_pibt_lite_fallback,g4d_teacher_planned_scope,35235,28623,6612,0,0,False,False
model_plus_bounded_local_search_k2,g4d_teacher_planned_scope,39702,32631,7071,7071,0,False,False
model_plus_bounded_local_search_k3,g4d_teacher_planned_scope,39269,32305,6964,6964,0,False,False
model_plus_bounded_local_search_k5,g4d_teacher_planned_scope,39562,32651,6911,6911,0,False,False
model_plus_pibt_lite_fallback,g4g_1024_offset0_no_fault,8138,6660,1478,0,0,False,False
model_plus_pibt_lite_fallback,g4g_1024_offset1024_no_fault,8164,6503,1661,0,0,False,False
model_plus_pibt_lite_fallback,g4g_1024_offset2048_no_fault,8316,6404,1912,0,0,False,False
model_plus_pibt_lite_fallback,g4g_1024_offset4096_no_fault,7683,5586,2097,0,0,False,False
model_plus_pibt_lite_fallback,g4g_2048_offset0_no_fault,16302,13163,3139,0,0,False,False
model_plus_pibt_lite_fallback,g4g_2048_offset2048_no_fault,16752,12884,3868,0,0,False,False
model_plus_pibt_lite_fallback,g4g_4096_offset0_no_fault,33064,26057,7007,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset0_no_fault,3967,3253,714,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset1024_no_fault,4245,3485,760,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset1536_no_fault,3919,3018,901,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset2048_no_fault,4300,3384,916,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset4096_no_fault,3604,2598,1006,0,0,False,False
model_plus_pibt_lite_fallback,g4g_512_offset512_no_fault,4171,3407,764,0,0,False,False
