scenario,kind,offset,window_size,context,source,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,edge_overlap_diagnostic_only,elapsed_seconds,tasks_per_second,stable,notes,time_compression_factor
g4ir2_density_8192_factor_1p0,density_sweep,0,8192,synthetic_density,raw_inputdata_density_sweep,8192,8192,0,0,62765,15511,467262,2.7914507,2934.67479111,True,,1
g4ir2_density_8192_factor_0p75,density_sweep,0,8192,synthetic_density,raw_inputdata_density_sweep,8192,8192,0,0,63363,15480,528520,2.8179025,2907.12684341,True,,0.75
g4ir2_density_8192_factor_0p5,density_sweep,0,8192,synthetic_density,raw_inputdata_density_sweep,8192,8192,0,0,68349,15445,664796,3.1404673,2608.52899197,True,,0.5
g4ir2_density_8192_factor_0p25,density_sweep,0,8192,synthetic_density,raw_inputdata_density_sweep,8192,8192,0,0,76056,15253,899320,4.571727,1791.88302366,True,,0.25
g4ir2_density_8192_factor_0p1,density_sweep,0,8192,synthetic_density,raw_inputdata_density_sweep,8192,8192,0,0,74852,14493,913415,4.6145109,1775.26940076,True,,0.1
