schema,status,candidate_id,executed_full_repeat_count,deterministic_result_sha256,original_entry_mean_minutes,pass_time_anchored_mean_minutes,scheduled_pre_release_offset_minutes,corrected_v2_safe_raw_entry_target_minutes,delta_vs_v2_minutes,delta_vs_v2_seconds,v2_safe_raw_entry_gate,corrected_hca_raw_entry_target_minutes,delta_vs_hca_minutes,hca_advantage_minutes,corrected_hca_raw_entry_gate,safety_termination_gate,strict_joint_promotion_gate,g4j_status
czr005.g4irsf12.denominator_reconciliation.v1,VERIFIED_DENOMINATOR_MISMATCH,J_F1,5,383491673f81a4a5f22ff78705c4f43c50870108b59e0b4ab29bfacce444ada0,41.544748409137824,4.173746874815814,37.37100153432201,41.49530698780892,0.04944142132890761,2.9664852797344565,FAIL,43.13593828041816,-1.591189871280335,1.591189871280335,PASS,PASS,FAIL,CLOSED
czr005.g4irsf12.denominator_reconciliation.v1,VERIFIED_DENOMINATOR_MISMATCH,J_F2,5,23c52e4412eb2359f907ed145f3cc0b6de8392af1dff184b8324b19b0b7c05f0,41.514218717973414,4.143217183651398,37.37100153432201,41.49530698780892,0.018911730164496987,1.1347038098698192,FAIL,43.13593828041816,-1.6217195624447456,1.6217195624447456,PASS,PASS,FAIL,CLOSED
