scenario,candidate,denominator,complete_bags,planned_segments,failed_segments,mean_tht,node_conflicts,runtime_full_astar,source_retry,wait_seconds,fallback_calls,material_regression,claim_allowed,trace_hash,notes
fault_16_paper_fault_arc_7,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,3.58152693,0,0,0,105016.39999999,81429,False,False,,fault diagnostic only; bag_success=1.000000; paper_success=1.0
fault_16_paper_fault_arc_8,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,3.5500663,0,0,0,86994.39999998,84259,False,False,,fault diagnostic only; bag_success=1.000000; paper_success=0.99
fault_16_paper_fault_arcs_1_7,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,25306,40403,3200,3.53790432,0,0,0,71572.19999999,76304,False,False,,fault diagnostic only; bag_success=0.887743; paper_success=1.0
fault_16_paper_fault_arcs_2_4,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,20426,35523,8080,3.51624204,0,0,0,46320.79999999,67081,False,False,,fault diagnostic only; bag_success=0.716551; paper_success=0.76
fault_16_paper_fault_arcs_3_5,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,20420,35517,8086,3.52148188,0,0,0,44781.4,68227,False,False,,fault diagnostic only; bag_success=0.716340; paper_success=0.66
fault_16_paper_fault_arcs_4_5,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,18732,33829,9774,3.53243274,0,0,0,34780.59999999,65341,False,False,,fault diagnostic only; bag_success=0.657125; paper_success=0.0
fault_16_paper_fault_arcs_5_7,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,23619,38716,4887,3.57843657,0,0,0,71720.19999999,75099,False,False,,fault diagnostic only; bag_success=0.828562; paper_success=0.48
fault_16_paper_fault_arcs_2_4_6,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,15540,30637,12966,3.52526727,0,0,0,27314.2,55748,False,False,,fault diagnostic only; bag_success=0.545148; paper_success=0.26
fault_16_paper_fault_arcs_3_5_8,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,20420,35517,8086,3.52794238,0,0,0,45078.6,70026,False,False,,fault diagnostic only; bag_success=0.716340; paper_success=0.05
fault_16_paper_fault_arcs_4_6_7,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,18733,33830,9773,3.5773165,0,0,0,47191.99999999,59414,False,False,,fault diagnostic only; bag_success=0.657160; paper_success=0.26
dynamic_static_1.5_10,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,6.37944472,0,0,0,110676.25925928,80687,False,False,,diagnostic effective_speed=1.350; paper_dynamic=6.45
dynamic_static_1.5_20,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,7.14332665,0,0,0,109111.16666667,80939,False,False,,diagnostic effective_speed=1.200; paper_dynamic=6.67
dynamic_static_1.5_30,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,8.14910473,0,0,0,124225.09523812,77321,False,False,,diagnostic effective_speed=1.050; paper_dynamic=6.91
dynamic_static_2.0_10,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,4.83627008,0,0,0,91644.55555549,80858,False,False,,diagnostic effective_speed=1.800; paper_dynamic=4.92
dynamic_static_2.0_20,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,5.41459437,0,0,0,97890.25,80960,False,False,,diagnostic effective_speed=1.600; paper_dynamic=5.16
dynamic_static_2.0_30,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,6.15738992,0,0,0,105106.00000002,80711,False,False,,diagnostic effective_speed=1.400; paper_dynamic=5.42
dynamic_static_2.5_10,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,3.91539163,0,0,0,89759.11111118,82110,False,False,,diagnostic effective_speed=2.250; paper_dynamic=3.99
dynamic_static_2.5_20,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,4.36419993,0,0,0,71883.5,80819,False,False,,diagnostic effective_speed=2.000; paper_dynamic=4.25
dynamic_static_2.5_30,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,4.96916739,0,0,0,93790.85714285,80788,False,False,,diagnostic effective_speed=1.750; paper_dynamic=4.49
dynamic_static_3.0_10,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,3.30066726,0,0,0,86881.92592591,82626,False,False,,diagnostic effective_speed=2.700; paper_dynamic=3.39
dynamic_static_3.0_20,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,3.68479428,0,0,0,88876.5,82467,False,False,,diagnostic effective_speed=2.400; paper_dynamic=3.51
dynamic_static_3.0_30,model_plus_pibt_lite_source_queue_open_end_v2,java_release_time_tth,28506,43603,0,4.18124007,0,0,0,95070.71428571,81143,False,False,,diagnostic effective_speed=2.100; paper_dynamic=3.64
high_flow_extension_subset_32768,model_plus_pibt_lite_source_queue_open_end_v2,diagnostic_runtime_tth,28960,32768,0,49.64291068,0,0,0,82529161.79999723,46965,False,False,,348824 high-flow is extension-only; bounded subset rerun for blocker detection
high_flow_extension_full_348824_prior_context,model_plus_pibt_lite_source_queue_open_end_v2,diagnostic_runtime_tth,,,,,,,,,,False,False,,full 348824 prior extension retained from C:\PROGRAMING\czr005\outputs\tables\g4irsf5_high_flow_extension_results.csv; G4IRSF8 does not promote high-flow as paper main
