case,policy,task_count,planned_count,unplanned_count,accounted_count,decision_count,trace_rows,post_shield_conflicts,mean_travel_time,last_ready_time,max_task_decision_ordinal,accounted_pass,summary_trace_pass,conflict_pass,global_ready_time_pass,task_ready_time_pass,ordinal_pass,task_ordinal_pass,candidate_count_pass,step_safety_pass,hold_semantics_pass,move_semantics_pass,terminal_event_pass,invariant_pass,first_failure
synthetic_seed7_medium_repair,edge_score_event,18,18,0,18,55,55,0,9.152747331723951,63.36931011461088,4,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed7_medium_repair,fallback_event,18,18,0,18,55,55,0,9.152747331723951,63.36931011461088,4,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed11_dense_multi_repair,edge_score_event,24,16,8,24,112,112,0,14.121867493001641,48.68357229884872,13,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed11_dense_multi_repair,fallback_event,24,16,8,24,112,112,0,14.121867493001641,48.68357229884872,13,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed17_static_plus_repair,edge_score_event,20,12,8,20,97,97,0,16.972989032025044,56.52547692836505,8,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed17_static_plus_repair,fallback_event,20,12,8,20,97,97,0,16.972989032025044,56.52547692836505,8,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed23_repeated_repair,edge_score_event,22,20,2,22,85,85,0,12.984904736897482,49.045341958721586,6,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed23_repeated_repair,fallback_event,22,19,3,22,93,93,0,13.7293717342828,49.045341958721586,7,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed31_merge_buffer,edge_score_event,26,22,4,26,104,104,0,11.646110896340467,36.13846903202888,9,True,True,True,True,True,True,True,True,True,True,True,True,True,none
synthetic_seed31_merge_buffer,fallback_event,26,22,4,26,104,104,0,11.646110896340467,36.13846903202888,9,True,True,True,True,True,True,True,True,True,True,True,True,True,none
