scenario,context,teacher_source,legacy_planned_count,legacy_unplanned_count,sipp_planned_count,sipp_unplanned_count,legacy_mean_travel_time,sipp_mean_travel_time,legacy_move_decisions,shared_decisions,agreement_count,agreement_rate,legacy_only_no_sipp_next,sipp_route_conflicts
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,14,2,16,0,50.17142857142816,52.74050093749918,168,149,147,0.9865771812080537,19,0
legacy_first16_buffer2,buffer_capacity,python_faithful_legacy_astar_event_trace,14,2,16,0,50.17142857142816,52.74050093749918,168,149,147,0.9865771812080537,19,0
legacy_first32,no_fault,python_faithful_legacy_astar_event_trace,21,11,32,0,51.11428571428552,63.670162656248806,331,268,261,0.9738805970149254,63,0
legacy_offset32_static16,static_fault,python_faithful_legacy_astar_event_trace,9,7,16,0,55.13333333333422,73.44885312499866,184,141,136,0.9645390070921985,43,0
legacy_offset64_repair32,repair_window,python_faithful_legacy_astar_event_trace,10,22,32,0,52.84000000000069,93.62435937499686,313,248,233,0.9395161290322581,65,0
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,10,22,32,0,53.3600000000004,96.42640781249696,303,223,205,0.9192825112107623,80,0
