fixture,start,goal,python_path,cpp_path,path_length,strict_parity_pass,notes
map2_start_end,0,47,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]",9,True,all map2 start/end A* cases
map2_start_end,0,48,"[0, 6, 12, 13, 23, 24, 27, 45, 48]","[0, 6, 12, 13, 23, 24, 27, 45, 48]",9,True,all map2 start/end A* cases
map2_start_end,0,49,"[0, 6, 8, 11, 14, 46, 36, 38, 37, 49]","[0, 6, 8, 11, 14, 46, 36, 38, 37, 49]",10,True,all map2 start/end A* cases
map2_start_end,0,50,"[0, 6, 8, 11, 14, 46, 36, 44, 50]","[0, 6, 8, 11, 14, 46, 36, 44, 50]",9,True,all map2 start/end A* cases
map2_start_end,0,51,"[0, 6, 8, 11, 14, 46, 35, 51]","[0, 6, 8, 11, 14, 46, 35, 51]",8,True,all map2 start/end A* cases
map2_start_end,1,47,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",10,True,all map2 start/end A* cases
map2_start_end,1,48,"[1, 7, 8, 11, 13, 23, 24, 27, 45, 48]","[1, 7, 8, 11, 13, 23, 24, 27, 45, 48]",10,True,all map2 start/end A* cases
map2_start_end,1,49,"[1, 7, 8, 11, 14, 46, 36, 38, 37, 49]","[1, 7, 8, 11, 14, 46, 36, 38, 37, 49]",10,True,all map2 start/end A* cases
map2_start_end,1,50,"[1, 7, 8, 11, 14, 46, 36, 44, 50]","[1, 7, 8, 11, 14, 46, 36, 44, 50]",9,True,all map2 start/end A* cases
map2_start_end,1,51,"[1, 7, 8, 11, 14, 46, 35, 51]","[1, 7, 8, 11, 14, 46, 35, 51]",8,True,all map2 start/end A* cases
map2_start_end,2,47,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",11,True,all map2 start/end A* cases
map2_start_end,2,48,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 45, 48]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 45, 48]",11,True,all map2 start/end A* cases
