policy,window_name,window_size,planned_count,scope_total,failed_count,loop_deadlock_cases,loop_count,nonprogress_steps,avg_no_progress_steps_per_task,mean_wait_seconds,stable
model_plus_pibt_lite_fallback,g4h_1024_offset4096_no_fault,1024,1024,1024,0,0,45,2167,2.11621094,47.86876676,True
model_plus_pibt_lite_fallback,g4h_2048_offset4096_no_fault,2048,2048,2048,0,0,45,3410,1.66503906,29.4871056,True
model_plus_pibt_lite_fallback,g4h_4096_offset4096_no_fault,4096,4096,4096,0,0,75,6707,1.63745117,27.50908215,True
model_plus_pibt_lite_fallback,g4h_8192_offset0_no_fault,8192,8192,8192,0,0,75,10739,1.31091309,16.76851739,True
