window_name,window_offset,window_size,selected_count,first_pass_time,last_pass_time,context,source,fault_edges,fault_windows,edge_capacity_primary
g4g_512_offset0_no_fault,0,512,512,8267.845453,16658.63959,no_fault,raw_inputdata_stress,[],[],False
g4g_512_offset512_no_fault,512,512,512,16659.81628,18066.77416,no_fault,raw_inputdata_stress,[],[],False
g4g_512_offset1024_no_fault,1024,512,512,18068.80944,19100.99055,no_fault,raw_inputdata_stress,[],[],False
g4g_512_offset1536_no_fault,1536,512,512,19102.22885,19684.13901,no_fault,raw_inputdata_stress,[],[],False
g4g_512_offset2048_no_fault,2048,512,512,19684.99047,20364.24657,no_fault,raw_inputdata_stress,[],[],False
g4g_512_offset4096_no_fault,4096,512,512,21793.40806,22061.4997,no_fault,raw_inputdata_stress,[],[],False
g4g_1024_offset0_no_fault,0,1024,1024,8267.845453,18066.77416,no_fault,raw_inputdata_stress,[],[],False
g4g_1024_offset1024_no_fault,1024,1024,1024,18068.80944,19684.13901,no_fault,raw_inputdata_stress,[],[],False
g4g_1024_offset2048_no_fault,2048,1024,1024,19684.99047,20837.48794,no_fault,raw_inputdata_stress,[],[],False
g4g_1024_offset4096_no_fault,4096,1024,1024,21793.40806,22293.12801,no_fault,raw_inputdata_stress,[],[],False
g4g_2048_offset0_no_fault,0,2048,2048,8267.845453,19684.13901,no_fault,raw_inputdata_stress,[],[],False
g4g_2048_offset2048_no_fault,2048,2048,2048,19684.99047,21791.23915,no_fault,raw_inputdata_stress,[],[],False
g4g_4096_offset0_no_fault,0,4096,4096,8267.845453,21791.23915,no_fault,raw_inputdata_smoke,[],[],False
