risk_variant,planned_count,node_window_conflicts,fallback_share,route_signature_match_rate,status
model_plus_pibt_lite,4449,0,0.15800416,0.69611149,measured
model_plus_pibt_lite_risk_abstain_off,4449,0,0,0.64059339,measured
model_plus_pibt_lite_no_historical_risk,4449,0,0.12806236,0.69611149,measured
model_plus_pibt_lite_no_bottleneck_risk,4449,0,0.15800416,0.69611149,measured
