schema,ablated_group,removed_features,remaining_feature_count,row_count,feature_count,pair_count,coverage,conditional_variance,sign_disagreement_rate,mean_neighbor_distance,distance_threshold,conditional_variance_delta_vs_full,sign_disagreement_delta_vs_full,coverage_delta_vs_full
czr005.g4irsf17.feature_ablation.v1,source_front_candidate,"[""candidate_local_rank"", ""candidate_deadline_slack_seconds"", ""candidate_wait_age_seconds"", ""candidate_leg_priority"", ""candidate_repair_priority""]",34,248,34,221,0.8911290322580645,0.13164592760180996,0.0,0.1514701840635251,0.35,-0.009465183509301145,0.0,-0.016129032258064502
czr005.g4irsf17.feature_ablation.v1,bounded_temporal,"[""release_count_10s"", ""release_count_30s"", ""release_count_60s"", ""admission_count_10s"", ""admission_count_30s"", ""admission_count_60s"", ""queue_slope_10s"", ""queue_slope_30s"", ""queue_slope_60s"", ""estimated_service_rate_60s"", ""drain_slope_60s"", ""recent_incoming_grants_60s"", ""incoming_grant_imbalance_60s""]",26,248,26,234,0.9435483870967742,0.18376068376068377,0.004273504273504274,0.10157213158354722,0.35,0.04264957264957267,0.004273504273504274,0.03629032258064524
czr005.g4irsf17.feature_ablation.v1,downstream_pressure,"[""target_queue_length"", ""target_queue_capacity"", ""target_queue_utilization"", ""target_scheduled_incoming"", ""drain_slope_60s"", ""service_weighted_pressure"", ""one_hop_ttl_pressure"", ""two_hop_ttl_pressure""]",31,248,31,235,0.9475806451612904,0.13816489361702128,0.0,0.11729580180948433,0.35,-0.0029462174940898256,0.0,0.040322580645161366
czr005.g4irsf17.feature_ablation.v1,merge,"[""merge_pending_count"", ""merge_oldest_request_age_seconds"", ""merge_token_generation_delta"", ""time_to_next_service_opportunity_seconds"", ""recent_incoming_grants_60s"", ""incoming_grant_imbalance_60s""]",33,248,33,234,0.9435483870967742,0.11258012820512821,0.0,0.13892270170395446,0.35,-0.028530982905982896,0.0,0.03629032258064524
