map,scale,arm,full_reference_arm,metric,metric_label,preferred_direction,comparison_status,arm_value,full_s4_value,delta_arm_minus_full_s4,binary_sha256_match,base_full_s4_request_sha256_match,workload_sha256_match,population_contract_match
map2,2,FULL_S4,FULL_S4,completed_raw_bag_count,completed raw bags,higher,SELF_REFERENCE,57012,57012,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,completion_rate,completion rate,higher,SELF_REFERENCE,1.0,1.0,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,SELF_REFERENCE,56875,56875,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,on_time_rate,on-time rate,higher,SELF_REFERENCE,0.9975969971234127,0.9975969971234127,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,missed_bag_count,missed raw bags,lower,SELF_REFERENCE,137,137,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,missed_bag_rate,missed rate,lower,SELF_REFERENCE,0.0024030028765873457,0.0024030028765873457,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,SELF_REFERENCE,80310.00100999969,80310.00100999969,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,SELF_REFERENCE,1.4086508280712777,1.4086508280712777,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,SELF_REFERENCE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,SELF_REFERENCE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,SELF_REFERENCE,144729150.0641583,144729150.0641583,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,backlog_peak,raw-bag peak backlog,lower,SELF_REFERENCE,4539,4539,0.0,True,True,True,True
map2,2,FULL_S4,FULL_S4,backlog_end,raw-bag end backlog,lower,SELF_REFERENCE,0,0,0.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,56186,56875,-689.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.9855118220725462,0.9975969971234127,-0.012085175050866481,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,826,137,689.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.014488177927453827,0.0024030028765873457,0.012085175050866481,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,479910.7911299979,80310.00100999969,399600.79011999816,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,8.417715413070896,1.4086508280712777,7.009064584999618,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,213.4078611999977,0.0,213.4078611999977,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,149953898.85156766,144729150.0641583,5224748.787409365,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,4688,4539,149.0,True,True,True,True
map2,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,56929,56875,54.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.9985441661404617,0.9975969971234127,0.0009471690170490543,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,83,137,-54.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.0014558338595382914,0.0024030028765873457,-0.0009471690170490543,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,45366.65281999985,80310.00100999969,-34943.34818999984,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,0.7957386658948967,1.4086508280712777,-0.612912162176381,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,144281235.39032832,144729150.0641583,-447914.67382997274,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,4500,4539,-39.0,True,True,True,True
map2,2,FULL_MINUS_Q,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,56221,56875,-654.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.9861257279169298,0.9975969971234127,-0.011471269206482892,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,791,137,654.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.013874272083070238,0.0024030028765873457,0.011471269206482892,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,632329.1518299978,80310.00100999969,552019.1508199981,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,11.091158910930993,1.4086508280712777,9.682508082859716,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,301.8984904999955,0.0,301.8984904999955,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,150282017.5659577,144729150.0641583,5552867.501799405,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,4705,4539,166.0,True,True,True,True
map2,2,FULL_MINUS_I,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,56884,56875,9.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.9977548586262541,0.9975969971234127,0.00015786150284147205,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,128,137,-9.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.0022451413737458736,0.0024030028765873457,-0.00015786150284147205,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,73552.19001999972,80310.00100999969,-6757.810989999969,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,1.2901176948712503,1.4086508280712777,-0.11853313320002745,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,144773009.5859792,144729150.0641583,43859.521820902824,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,4549,4539,10.0,True,True,True,True
map2,2,FULL_MINUS_WS,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,56884,56875,9.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.9977548586262541,0.9975969971234127,0.00015786150284147205,True,True,True,True
