case,task_offset,window_size,fault_windows,python_planned,cpp_planned,planned_match,python_unplanned,cpp_unplanned,unplanned_match,python_steps,cpp_decision_count,decision_match,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,mean_travel_match,python_conflicts,cpp_conflicts,conflict_match,python_truncated,strict_parity_pass
repair_alt_route_first24,0,24,"16->17@[0.000,10400.000)",20,20,True,4,4,True,306,306,True,58.999999999999275,58.999999999999275,0.0,True,0,0,True,False,True
repair_goal_exit_first24,0,24,"28->47@[0.000,10350.000)",19,19,True,5,5,True,441,441,True,105.46315789473681,105.46315789473681,0.0,True,0,0,True,False,True
repair_branch_offset16,16,24,"6->8@[10650.000,10750.000)",16,16,True,8,8,True,509,509,True,66.72499999999991,66.72499999999991,0.0,True,0,0,True,False,True
repair_multi_window_offset32,32,24,"16->17@[10700.000,10825.000);28->47@[10800.000,10950.000)",18,18,True,6,6,True,419,419,True,73.03333333333325,73.03333333333325,0.0,True,0,0,True,False,True
