scenario,context,segment_id,task_id,current,legacy_next,goal,ready_time,block_reason,label_taxonomy,hold_until_time,hold_duration,earliest_safe_time,earliest_hold_duration,earliest_safe_status,wait_label_candidate,branch_or_linear,fault_state,repair_state,merge_state,buffer_state
legacy_first16,no_fault,2:storage_in,2,18,22,47,8882.216299,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8883.216299,1.0,8883.445453,1.2291540000005625,ok,True,linear,none,none,none,none
legacy_first16,no_fault,2:storage_in,2,18,22,47,8883.216299,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8884.216299,1.0,8883.445453,0.22915400000056252,ok,True,linear,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,18,22,47,8889.800872000002,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8890.800872000002,1.0,8892.616299,2.815426999997726,ok,True,linear,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,18,22,47,8890.800872000002,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8891.800872000002,1.0,8892.616299,1.815426999997726,ok,True,linear,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,18,22,47,8891.800872000002,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8892.800872000002,1.0,8892.616299,0.8154269999977259,ok,True,linear,none,none,none,none
legacy_first16,no_fault,2:storage_in,2,22,24,47,8893.616299,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8894.616299,1.0,8894.845453,1.2291540000005625,ok,True,branch,none,none,none,none
legacy_first16,no_fault,2:storage_in,2,22,24,47,8894.616299,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8895.616299,1.0,8894.845453,0.22915400000056252,ok,True,branch,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,22,24,47,8902.200872000001,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8903.200872000001,1.0,8906.016298999999,3.815426999997726,ok,True,branch,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,22,24,47,8903.200872000001,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8904.200872000001,1.0,8906.016298999999,2.815426999997726,ok,True,branch,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,22,24,47,8904.200872000001,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8905.200872000001,1.0,8906.016298999999,1.815426999997726,ok,True,branch,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,22,24,47,8905.200872000001,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8906.200872000001,1.0,8906.016298999999,0.8154269999977259,ok,True,branch,none,none,none,none
legacy_first16,no_fault,3:storage_in,3,27,28,47,8920.200872000001,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,8921.200872000001,1.0,8920.416298999999,0.21542699999736215,ok,True,branch,none,none,none,none
legacy_first16,no_fault,5:storage_in,5,18,22,47,9477.815484,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,9478.815484,1.0,9480.682986000002,2.867502000000968,ok,True,linear,none,none,none,none
legacy_first16,no_fault,5:storage_in,5,18,22,47,9478.815484,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,9479.815484,1.0,9480.682986000002,1.867502000000968,ok,True,linear,none,none,none,none
legacy_first16,no_fault,5:storage_in,5,18,22,47,9479.815484,edge_capacity,LEGACY_NEXT_TEMPORARILY_BLOCKED,9480.815484,1.0,9480.682986000002,0.8675020000009681,ok,True,linear,none,none,none,none
