map,load_factor,policy,run_status,pair_status,strict_physical_equivalence,pair_control_sha256,event_count,decision_count,decision_attempt_count,congestion_beacon_update_event_count,redundant_beacon_suppressed_count,same_state_beacon_suppressed_count,bag_release_event_count,arrive_junction_event_count,junction_service_complete_event_count,edge_enter_event_count,edge_exit_event_count,fault_event_count,repair_event_count,physical_causal_event_count_total,stale_arbitration_event_count,merge_grant_stale_arbitration_count,merge_grant_stale_wakeup_count,stale_event_count_total,merge_grant_wakeup_scheduled_count,merge_grant_wakeup_coalesced_count,merge_grant_duplicate_wakeup_prevented_count,max_junction_queue_length,max_source_queue_length,event_queue_peak,wall_seconds,cpu_seconds,peak_rss_bytes,beacon_suppression_count_semantics
map2,1.0,E0,COMPLETE_TRACE_CAPTURE,STRICT_PHYSICAL_EQUIVALENCE_PASS,True,472256ec5bed36d608a8bc16cc9e6bdb086ada8c1523ebac96c2c70e1f466797,4752689,336638,338754,1954494,0,0,43603,336638,336638,336638,336638,0,0,1390155,0,9465,9465,18930,163057,121611,121611,236,310,N/M,39.741719000041485,38.890625,6285496320,DEFINITIONALLY_ZERO_UNDER_E0_POLICY;NATIVE_BINDING_OMITS_COUNTERS
map2,1.0,E2,COMPLETE_TRACE_CAPTURE,STRICT_PHYSICAL_EQUIVALENCE_PASS,True,472256ec5bed36d608a8bc16cc9e6bdb086ada8c1523ebac96c2c70e1f466797,3997648,336638,338754,1199453,563287,191754,43603,336638,336638,336638,336638,0,0,1390155,0,9465,9465,18930,163057,76152,76152,236,310,N/M,38.50778639991768,37.453125,6285422592,NATIVE_E2_SUMMARY_COUNTERS
nanning,1.0,E0,COMPLETE_TRACE_CAPTURE,STRICT_PHYSICAL_EQUIVALENCE_PASS,True,03e364794e12718d2b07f28bc7be08174f66e79e943a27ed05775611220ced5e,8645838,588936,661848,3530209,0,0,43603,588936,588936,588936,588936,0,0,2399347,0,26690,26690,53380,323045,283454,283454,1142,310,N/M,85.12288339994848,82.8125,13117030400,DEFINITIONALLY_ZERO_UNDER_E0_POLICY;NATIVE_BINDING_OMITS_COUNTERS
nanning,1.0,E2,COMPLETE_TRACE_CAPTURE,STRICT_PHYSICAL_EQUIVALENCE_PASS,True,03e364794e12718d2b07f28bc7be08174f66e79e943a27ed05775611220ced5e,7087605,588936,661848,1971976,925122,633111,43603,588936,588936,588936,588936,0,0,2399347,0,26690,26690,53380,323045,185585,185585,1142,310,N/M,76.90544579993002,74.921875,13117329408,NATIVE_E2_SUMMARY_COUNTERS
