scenario,context,replay_variant,label_taxonomy,label_role,count,share
legacy_first16,no_fault,g3d_reroute_anchor,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16,no_fault,g3d_reroute_anchor,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16,no_fault,g3d_reroute_anchor,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,30,0.17543859649122806
legacy_first16,no_fault,g3d_reroute_anchor,MOVE_NOW_LEGACY,primary_executable,135,0.7894736842105263
legacy_first16,no_fault,g3d_reroute_anchor,REROUTE_NOW_LEGACY,primary_executable,4,0.023391812865497075
legacy_first16,no_fault,edge_release_wait_scheduler,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,edge_release_wait_scheduler,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,edge_release_wait_scheduler,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16,no_fault,fifo_edge_queue_scheduler,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,fifo_edge_queue_scheduler,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,fifo_edge_queue_scheduler,WAIT_EDGE_QUEUE,primary_executable,21,0.168
legacy_first16,no_fault,capacity_wait_budget_5s,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,capacity_wait_budget_5s,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,capacity_wait_budget_5s,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16,no_fault,capacity_wait_budget_10s,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,capacity_wait_budget_10s,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,capacity_wait_budget_10s,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16,no_fault,capacity_wait_budget_30s,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,capacity_wait_budget_30s,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,capacity_wait_budget_30s,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16,no_fault,capacity_wait_budget_60s,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,capacity_wait_budget_60s,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,capacity_wait_budget_60s,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16,no_fault,route_intent_only_teacher,ROUTE_INTENT_LEGACY,auxiliary_or_exclusion,16,1.0
legacy_first16,no_fault,hybrid_executable_teacher,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,hybrid_executable_teacher,MOVE_NOW_LEGACY,primary_executable,97,0.776
legacy_first16,no_fault,hybrid_executable_teacher,WAIT_EDGE_CAPACITY,primary_executable,21,0.168
legacy_first16_buffer2,buffer_capacity,g3d_reroute_anchor,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16_buffer2,buffer_capacity,g3d_reroute_anchor,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16_buffer2,buffer_capacity,g3d_reroute_anchor,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,30,0.17543859649122806
